Title,Acronym,Rank
International Conference on Computer Vision and Graphics,ICCVG,National: Poland
International Conference on Computer Vision Systems,ICVS,C
International Conference on Computer-Human Interaction Research and Applications,CHIRA,C
International Conference on Computers and their Applications,CATA,National: USA
International Conference on Computers Helping People with Special Needs,ICCHP,C
International Conference on Computers in Education,ICCE,C
International Conference on Computing and Combinatorics,COCOON,National:China
International Conference on Computing and Informatics,ICOCI,C
International Conference on Conceptual Modelling,ER,A
International Conference on Concurrency Theory,CONCUR,A
"International Conference on Control, Automation, Robotics and Vision",ICARCV,C
"International Conference on Control, Decision and Information Technologies",CoDIT,C
International Conference on Cooperative Information Systems,CoopIS,B
International Conference on Coordination Models and Languages,Coordination,C
International Conference on Cryptology and Network Security,CANS,B
International Conference on Cryptology in India,INDOCRYPT,National: India
International Conference on Cyberworlds (was International Symposium on Cyberworlds),CW,C
International Conference on Data Engineering,ICDE,A*
"International Conference on Data Science, Technology and Applications",DATA,C
International Conference on Database and Expert Systems Applications,DEXA,C
International Conference on Database Systems for Advanced Applications,DASFAA,B
International Conference on Database Theory,ICDT,A
International Conference on Dependability of Computer Systems,DEPCoS,National: Poland
"International Conference on Dependable, Autonomic and Secure Computing",DASC,C
International Conference on Digital Society,ICDS,C
International Conference on Distributed Computing and Artificial Intelligence,DCAI,National(Spain)
International Conference on Distributed Computing and Internet Technologies,ICDCIT,National: India
International Conference on Distributed Computing and Networking,ICDCN,National: India
International Conference on Distributed Computing Systems,ICDCS,A
International Conference on Dublin Core and Metadata Applications,DC,C
International Conference on Electronic Commerce,ICEC,C
International Conference on Embedded and Real Time Computing Systems and Applications,RTCSA,B
International Conference on Embedded Wireless Systems and Networks (wasEuropean Conference on Wireless Sensor Networks),EWSN,B
International Conference on Emerging Ubiquitous Systems and Pervasive Networks,EUSPN,Unranked
International Conference on Engineering Applications of Neural Networks,EANN,C
International Conference on Entertainment Computing,ICEC,C
International Conference on Evaluation and Assessment in Software Engineering,EASE,A
International Conference on Evaluation of Novel Approaches to Software Engineering,ENASE,B
International Conference on Formal Engineering Methods,ICFEM,C
International Conference on Formal Methods and Models for Co-Design,MEMOCODE,C
International Conference on Formal Ontology in Information Systems,FOIS,B
International Conference on Formal Structures for Computation and Deduction,FSCD,B
International Conference on Frontiers of Handwriting Recognition,ICFHR,B
International Conference on Frontiers of Information Technology,FIT,National: Pakistan
International Conference on Functional Programming,ICFP,A
International Conference on Generative Programming and Component Engineering,GPCE,B
International Conference on Graph Transformations,ICGT,B
"International Conference on Green, Pervasive and Cloud Computing (was Grid and Pervasive Computing)",GPC,C
"International Conference on Hardware/Software Codesign and System Synthesis (previously ISSN, changed in 2003)",CODES+ISSS,C
"International Conference on Heterogeneous Networking for Quality, Reliability, Security and Robustness (was International Conference on Quality of Service in Heterogeneous Wired/Wireless Networks)",Qshine,C
International Conference on High Performance Computing,HiPC,National: India
International Conference on High Performance Scientific Computing,HPSC,National: Vietnam
International Conference on Human Factors in Computing Systems,CHI,A*
International Conference on Human-Computer Interaction with Mobile Devices and Services,MobileHCI,B
International Conference on Hybrid Artificial Intelligence Systems,HAIS,National: Spain
International Conference on Hybrid Intelligent Systems,HIS,C
International Conference on Image Analysis and Processing,ICIAP,National: Italy
International Conference on Image and Graphics,ICIG,National: China
International Conference on Image and Signal Processing,ICISP,C
International Conference on Implementation and Application of Automata,CIAA,C
International Conference on Indoor Positioning and Indoor Navigation,IPIN,C
International Conference on Industrial and Engineering Applications of Artificial Intelligence and Expert Systems,IEA/AIE,C
International Conference on Informatics & Data-Driven Medicine,IDDM,C
"International Conference on Informatics in Control, Automation and Robotics",ICINCO,C
International Conference on Information and Communication Technologies and Development,ICTD,C
International Conference on Information and Communication Technologies for Ageing Well and e-Health,ICT4AWE,C
International Conference on Information and Communication Technologies in Tourism,ENTER,C
International Conference on Information and Communications Security,ICICS,C
International Conference on Information and Knowledge Engineering,IKE,National: USA
International Conference on Information Fusion,FUSION,C
International Conference on Information Processing and Management of Uncertainty,IPMU,C
International Conference on Information Security and Cryptography,SECRYPT,C
International Conference on Information Security and Cryptology,ICISC,National: Korea
International Conference on Information Systems Security,ICISS,National: India
International Conference on Information Systems Security and Privacy,ICISSP,C
International Conference on Information Technology and Applications,ICITA,Australasian C
International Conference on Information Visualisation,IV,C
International Conference on Innovations for Community Services (was Innovative Internet Computer Systems IICS until 2014),I4CS,C
International Conference on Integration of Artificial Intelligence and Operations Research Techniques in Constraint Programming for Combinatorial Optimization Problems,CPAIOR,B
International Conference on Intelligent Data Engineering and Automated Learning,IDEAL,C
"International Conference on Intelligent Software Methodologies, Tools, and Techniques (was International Conference on Software Methods and Tools)",SoMeT,C
International Conference on Intelligent Systems and Knowledge Engineering,ISKE,National: China
International Conference on Intelligent Systems Designs and Applications,ISDA,C
International Conference on Intelligent Text Processing and Computational Linguistics,CICLING,C
International Conference on Intelligent Tutoring Systems,ITS,B
International Conference on Intelligent User Interfaces,IUI,A
International Conference on Interactive Digital Storytelling (2008 merger of 'ICVS International Conference on Virtual Storytelling' and 'TIDSE Technology for Interactive Digital Storytelling'),ICIDS,C
International Conference on Internet and Web Applications and Services,ICIW,C
International Conference on Internet Computing in Science and Engineering,ICICSE,C
International Conference on Internet Monitoring and Protection,ICIMP,C
"International Conference on Internet of Things, Big Data and Security",IoTBDS,C
International Conference on Internet Technologies and Applications,ITA,National: USA
International Conference on Knowledge Engineering and Knowledge Management,EKAW,B
International Conference on Knowledge Engineering and Ontology Development,KEOD,C
"International Conference on Knowledge Science, Engineering and Management",KSEM,C
International Conference on Knowledge-Based and Intelligent Information and Engineering Systems,KES,B
International Conference on Language and Automata Theory and Applications,LATA,C
International Conference on Learning Analytics and Knowledge,LAK,A
International Conference on Learning Representations,ICLR,A*
International Conference on Legal Knowledge and Information Systems,JURIX,C
International Conference on Logic Programming,ICLP,A
International Conference on Logic Programming and Non-monotonic Reasoning,LPNMR,B
International Conference on Machine Learning,ICML,A*
International Conference on Machine Learning and Applications,ICMLA,C
International Conference on Machine Learning and Cybernetics,ICMLC,National: China
International Conference on Machine Vision,ICMV,C
International Conference on Managed Programming Languages and Runtimes (was ManLang and previously Principles and Practice of Programming in Java: PPPJ),MPLR,C
International Conference on Management of Data,COMAD,National: India
International Conference on Management of Digital EcoSystems,MEDES,C
International Conference on Mathematical Foundations of Programming Semantics,MFPS,B
International Conference on Methods and Models in Automation and Robotics,MMAR,National:Poland
International Conference on Mobile and Ubiquitous Systems: Networks and Services,Mobiquitous,C
International Conference on Mobile Data Management,MDM,B
International Conference on Mobile Systems and Pervasive Computing,MobiSPC,Unranked
"International Conference on Mobile Ubiquitous Computing, Systems, Services and Technologies",UBICOMM,C
International Conference on Model and Data Engineering,MEDI,C
"International Conference on Model Driven Engineering Languages and Systems (Previously UML, changed in 2005)",MODELS,A
International Conference on Model-Driven Engineering and Software Development,MODELSWARD,C
International Conference on Modelling and Simulation,ECMS,Multiconference
International Conference on Modelling Decisions for Artificial Intelligence,MDAI,B
International Conference on Multimedia Modelling,MMM,B
International Conference on Multimedia Retrieval (previously MIR),ICMR,B
International Conference on Multimodal Interaction (was International Conference on Multimodal Interfaces),ICMI,B
International Conference on Natural Computation,ICNC,National: China
International Conference on Network and Service Management (amalgamation of DSOM and related workshops from 2010),CNSM,B
International Conference on network and System Security,NSS,B
International Conference on Network Protocols,ICNP,B
International Conference on Network Softwarization,NetSoft,B
International Conference on Neural Information Processing,ICONIP,B
International Conference on Operations Research and Enterprise Systems,ICORES,C
International Conference on Optimization: Techniques And Applications,ICOTA,C
International Conference on Pairing-based Cryptography,Pairing,C
"International Conference on Parallel and Distributed Computing, Applications and Technologies",PDCAT,C
International Conference on Parallel and Distributed Processing Techniques and Applications,PDPTA,National: USA
International Conference on Parallel and Distributed Systems,ICPADS,B
International Conference on Parallel Architecture and Compilation Techniques,PACT,B
International Conference on Parallel Processing,ICPP,B
International Conference on Parallel Processing and Applied Mathematics,PPAM,National: Poland
International Conference on Pattern Recognition,ICPR,B
International Conference on Pattern Recognition Applications and Methods,ICPRAM,C
International Conference on Practical Applications of Computational Biology & Bioinformatics,PACBB,National(Spain)
International Conference on Practice and Theory in Public Key Cryptography,PKC,B
International Conference on Principles and Practice of Constraint Programming,CP,A
International Conference on Principles and Practice of Declarative Programming,PPDP,C
International Conference on Principles of Distributed Systems,OPODIS,B
International Conference on Principles of Practice in Multi-Agent Systems (prior to 2009 was Pacific Rim International Workshop on Multi-Agents),PRIMA,B
"International Conference on Probabilistic, Combinatorial, and Asymptotic Methods in the Analysis of Algorithms (was Conference on Analysis of Algorithms)",AofA,C
International Conference on Process Mining,ICPM,B
International Conference on Provable Security,ProvSec,C
International Conference on Quality of Multimedia Experience,QoMEX,B
International Conference on Real-Time and Network Systems,RTNS,National: France
International Conference on Recent Advances in Natural Language Processing,RANLP,National: bulgaria
International Conference on Relational and AlgebraicMethods in Computer Science (was International Conference on Relational Methods in Computer Science RelMiCS),RAMiCS,C
International Conference on Reliable Software Technologies,Ada-Europe,Journal Published
International Conference on Research Challenges in Information Science,RCIS,B
International Conference on Reversible Computation,RC,C
International Conference on Risks and Security of Internet and Systems,CRiSIS,C
"International Conference on Robotics, Vision, Signal Processing and Power Applications (was ROVPIA)",RoVISP,National: Malaysia
International Conference on Runtime Verification (was workshop pre 2010),RV,B
International Conference on Scientific and Statistical Data Base Management,SSDBM,B
International Conference on Security and Privacy for Communication Networks,SecureComm,C
International Conference on Security of Information and Networks,SIN,C
International Conference on Sequences and their Applications,SETA,C
International Conference on Service Oriented Computing,ICSOC,A
International Conference on Similarity Search and Applications,SISAP,B
International Conference on Smart homes and health Telematics,ICOST,C
International Conference on Software and Data Technologies,ICSoft,C
International Conference on Software and System Processes (was ICSP prior to 2011),ICSSP,B
International Conference on Software Architecture (was previously WICSA),ICSA,A
International Conference on Software Engineering,ICSE,A*
International Conference on Software Engineering Advances,ICSEA,C
International Conference on Software Engineering and Formal Methods,SEFM,B
International Conference on Software Engineering and Knowledge Engineering,SEKE,C
"International Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing",SNPD,C
International Conference on Software Language Engineering,SLE,B
International Conference on Software Quality Management,SQM,C
International Conference on Software Reuse,ICSR,B
"International Conference on Software Testing, Verification and Validation",ICST,A
International Conference on Sustainable Energy Information Technology,SEIT,Unranked
International Conference on Systems Engineering,ICSEng,C
International Conference on Technical Debt,TechDebt,B
International Conference on Testing Software and Systems,ICTSS,C
International Conference on Tests and Proofs,TAP,C
International Conference on the Application and Theory of Petri Nets and Concurrency,Petri Nets,B
International Conference on the Foundations of Digital Games,FDG,C
International Conference on the Principles of Knowledge Representation and Reasoning,KR,A*
International Conference on the Quality of Information and Communications Technology,QUATIC,C
International Conference on the Simulation and Synthesis of Living Systems,ALIFE,C
International Conference on the Statistical Analysis of Textual Data,JADT,C
International Conference on the Theory and Application of Cryptographic Techniques,EuroCrypt,A*
International Conference on the Theory and Application of Cryptology and Information Security,ASIACRYPT,A
International Conference on the Theory of Information Retrieval,ICTIR,Unranked
International Conference on Theorem Proving with Analytic Tableaux and Related Methods,TABLEAUX,B
International Conference on Theory and Applications of Satisfiability Testing,SAT,A
International Conference on Theory and Practice of Digital Libraries (was ECDL until 2010),TPDL,B
International Conference on Tools with Artificial Intelligence,ICTAI,B
"International Conference on Trust, Privacy and Security in Digital Business",TrustBus,B
"International Conference on Trust, Security and Privacy in Computing and Communications",TrustCom,B
International Conference on Ubiquitous Intelligence and Computing,UIC,C
International Conference on Unconventional Computation and Natural Computation (was International Conference on Unconventional Computation),UC,C
"International Conference on User Modelling, Adaptation, and Personalization (was AH and UM)",UMAP,B
International Conference on Vehicle Technology and Intelligent Transport Systems,VEHITS,C
International Conference on Very Large Databases,VLDB,A*
International Conference on Virtual Execution Environments,VEE,B
International Conference on Virtual Rehabilitation,ICVR,Unranked
International Conference on VLSI Design,VLSID,National: India
International Conference on Web and Social Media,ICWSM,A
International Conference on Web Engineering,ICWE,B
International Conference on Web Information Systems and Technologies,WEBIST,C
International Conference on Web Information Systems Engineering,WISE,B
International Conference on Wireless Networks and Mobile Communications,WINCOM,National:Morocco
"International Conference: Sciences of Electronics, Technologies of information and Telecommunication",SETIT,Unranked
"International Conferences in Central Europe on Computer Graphics, Visualization and Computer Vision",WSCG,National: Czecholslovakia
International Congress on Computational and Applied Mathematics,ICCAM,C
International Congress on Modelling and Simulation,MODSIM,Australasian C
International Cross-Domain Conference for Machine Learning and Knowledge Extraction,CD-MAKE,C
International CSI Computer Conference,CSICC,National: Iran
International Database Engineering and Applications Symposium,IDEAS,C
International European Conference on Parallel and Distributed Computing (was International Conference on Parallel Processing),EuroPar,B
International FLINS Conference on Robotics and Artificial Intelligence (was International Fuzzy Logic and Intelligent technologies in Nuclear Science Conference),FLINS,C
International Frontiers of Algorithmics Workshop,FAW,National: China
International Joint Conference on Artificial Intelligence,IJCAI,A*
International Joint Conference on Automated Reasoning,IJCAR,A
"International Joint Conference on Autonomous Agents and Multiagent Systems (previously the International Conference on Multiagent Systems, ICMAS, changed in 2000)",AAMAS,A*
International Joint Conference on Biometrics,IJCB,B
International Joint Conference on Computational Intelligence,IJCCI,C
"International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management",IC3K,C
International Joint Conference on Natural Language Processing,IJCNLP,B
International Joint Conference on Rough Sets (2014 International Conference on Rough Sets and Current Trends in Computing joined with 3 others),IJCRS (was RSCTC),C
International Joint Conference on Rules and Reasoning,RuleML+RR,B
International KES Conference on Agents and Multiagent systems - Technologies and Applications,KES AMSTA,C
International Machine Vision and Image Processing Conference,IMVIP,National: ireland
International Natural Language Generation Conference,INLG,B
International Network Optimization Conference,INOC,C
International Picture Coding Symposium,PCS,C
International Semantic Web Conference,ISWC,A
International Symposium 'Problems of Redundancy in Information and Control Systems',Redundancy,National Russia
International Symposium on Algorithmic Game Theory,SAGT,B
International Symposium on Algorithms and Computation,ISAAC,A
International Symposium on Algorithms and Experiments for  Wireless Networks,Algosensors,C
International Symposium on Applied Computational Intelligence and Informatics,SACI,National: Romania
International Symposium on Applied Machine Intelligence and Informatics,SAMI,National: slovakia
International Symposium on Artificial Intelligence and Mathematics,ISAIM,National: USA
International Symposium on Artificial Life and Robotics,AROB,C
International Symposium on Automated Technology for Verification and Analysis,ATVA,B
International Symposium on Automation and Robotics in Construction,ISARC,C
International Symposium on Autonomous Decentralized Systems,ISADS,C
International Symposium on Code Generation and Optimization,CGO,A
International Symposium on Combinatorial Optimisation,ISCO,C
International Symposium on Computational Geometry,SoCG,A
International Symposium on Computer Architecture and High Performance Computing,SBAC-PAD,C
International Symposium on Distributed Computing (was WDAG),DISC,A
International Symposium on Distributed Simulation and Real Time Applications,DS-RT,C
International Symposium on Empirical Software Engineering and Measurement,ESEM,A
International Symposium on Experimental Algorithms,SEA,B
International Symposium on Formal Methods (was Formal Methods Europe FME),FM,A
International Symposium on Foundations of Intelligent Systems,ISMIS,C
International Symposium on Functional and Logic Programming,FLOPS,National: Japan
International Symposium on Fundamentals of Computation Theory,FCT,B
International Symposium on Grids and Clouds (was International Symposium on Grid Computing),ISGC,C
International Symposium on High Performance Computer Architecture,HPCA,A*
International Symposium on Information Assurance and Security,IAS,C
International Symposium on Information Theory and Its Applications,ISITA,C
International Symposium on Innovations in Intelligent Systems and Applications,INISTA,C
International Symposium on Intelligent Systems and Informatics,SISY,National: serbia
International Symposium on Latin American Theoretical Informatics,LATIN,B
"International Symposium on Leveraging Applications of Formal Methods, Verification and Validation",ISoLA,C
International Symposium on Logic-based Program Synthesis and Transformation,LOPSTR,C
International Symposium on Mathematical Foundations of Computer Science,MFCS,A
International Symposium on Memory Management,ISMM,C
International Symposium on Microarchitecture,MICRO,TBR
"International Symposium on Modelling and Optimization in Mobile, Ad Hoc, and Wireless Networks",WiOpt,B
"International Symposium on Networks, Computers and Communications",ISNCC,C
International Symposium on Neural Networks,ISNN,C
"International Symposium on New Ideas, New Paradigms, and Reflections on Programming and Software",Onward,C
International Symposium on Open Collaboration (was International Symposiums on Wikis),OPENSYM,C
International Symposium on Parallel and Distributed Computing,ISPDC,C
International Symposium on Parameterized and Exact Computation (was IWPEC pre 2004),IPEC,B
International Symposium on Robotics Research,ISRR,C
International Symposium on Search Based Software Engineering,SSBSE,B
International Symposium on Software Engineering for Adaptive and Self-Managing Systems,SEAMS,A
"International Symposium on Software Engineering: Theories, Tools, and Applications",SETTA,National:China
International Symposium on Software Reliability Engineering,ISSRE,A
International Symposium on Software Testing and Analysis,ISSTA,A
International Symposium on Spatial and Temporal Databases,SSTD,B
International Symposium on Spatial Data Handling,SDH,C
International Symposium on Spatial Data Quality,ISSDQ,C
International Symposium on String Processing and Information Retrieval,SPIRE,C
International Symposium on Symbolic and Algebraic Computation,ISSAC,A
International Symposium on Symbolic and Numeric Algorithms for Scientific Computing,SYNASC,National: romania
International Symposium on Technology and Society,ISTAS,C
International Symposium on Temporal Representation and Reasoning,TIME,C
International Symposium on the Mathematical Theory of Networks and Systems,MTNS,C
International Symposium on Theoretical Aspects of Computer Science,STACS,A
International Symposium on Theoretical Aspects of Software Engineering,TASE,National: China
International Symposium on Ubiquitous Virtual Reality,ISUVR,National: S. Korea
International Symposium on Visual Computing,ISVC,National: USA
International Telecommunication Networks and Applications Conference (was Australian Telecommunication Networks and Applications Conference),ITNAC,Australasian C
International Teletraffic Congress,ITC,Unranked
International Visualization in Transportation Symposium,TRB,National: USA
International Wordnet Conference (Global Wordnet Conference),GWC,C
International Work-Conference on Artificial and Natural Neural Networks,IWANN,National: Spain
International Work-conference on the Interplay between Natural and Artificial Computation,IWINAC,National
International Workshop on Algebraic and Combinatorial Coding Theory,ACCT,National
International Workshop on Approximation Algorithms for Combinatorial Optimization Problems and International Conference on Randomization and Computation,APPROX/RANDOM,A
International Workshop on Combinations of Intelligent Methods and Applications,CIMA,C
International Workshop on Combinatorial Algorithm,IWOCA,C
International Workshop on Combinatorial Image Analysis: Theory and Applications,IWCIA,C
"International Workshop on Coordination, Organizations, Institutions, Norms and Ethics for Governance of Multi-Agent Systems (Ethics added 2020)",COINE,C
International Workshop on Critical Information Infrastructures Security,CRITIS,C
International Workshop on Data Management on New Hardware,DaMoN,C
International Workshop on Data Warehousing and OLAP,DOLAP,C
International Workshop on Digital Watermarking,IWDW,C
International Workshop on Document Analysis Systems,DAS,B
International Workshop on Enterprise and Organizational Modelling and Simulation,EOMAS,C
International Workshop on Fast Software Encryption,FSE,Journal Published
International Workshop on Formal Methods for interactive Systems,FMIS,C
International Workshop on Graph-Theoretic Concepts in Computer Science,WG,B
International workshop on High-Level Parallel Programming and Applications,HLPP,C
International Workshop on High-Level Parallel Programming Models and Supportive Environments,HIPS,C
International Workshop on Information Security Applications,WISA,National: korea
International Workshop on Modelling in Software Engineering,MISE,C
International Workshop on MultiAgent Based Simulation,MABS,C
International Workshop on Multimedia Signal Processing,MMSP,C
International Workshop on Post-Quantum Cryptography,PQCrypto,C
International Workshop on Principles of Diagnosis,DX,C
International Workshop on Requirements Engineering: Foundation for Software Quality,REFSQ,B
International Workshop on Security,IWSEC,National: Japan
International Workshop on Soft Computing Applications,SOFA,National: Romania
International Workshop on Software and Compilers for Embedded Systems,SCOPES,C
International Workshop on the Algorithmic Foundations of Robotics,WAFR,C
International Workshop on Visualization for Cyber Security,VizSec,C
International Workshop on Web and Wireless Geographical Information Systems,W2GIS,C
International Workshops on Enabling Technologies: Infrastructures for Collaborative Enterprises,WETICE,C
International World Wide Web Conference,WWW,A*
Internet Measurement Conference,IMC,A
Interspeech (combined EuroSpeech and ICSLP in 2000),Interspeech,A
ISC High Performance (was International Supercomputing Conference),ISC,C
ISCA International Conference on Computer Applications in Industry and Engineering,CAINE,C
Joint Conference of the International Workshop on Software Measurement and the International Conference on Software Process and Product Measurement (IWSM and Mensura combined from 2007),IWSM Mensura,C
"Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications (GRAPP and VISAPP combined from 2008)",VISIGRAPP,Multiconference
KES International Symposium on Intelligent Decision Technologies,KES IDT,C
Knowledge capture,K-CAP,B
Knowledge Domain Visualisation,KDViz,National: UK
Knowledge Visualization and Visual Thinking,KV,C
Language Resources and Evaluation Conference,LREC,B
"Language, Data and Knowledge",LDK,C
Latin American Conference on Informatics,CLEI,C
"Latin-American Algorithms, Graphs and Optimization Symposium",LAGOS,C
Logic Programming and Automated Reasoning,LPAR,B
Logical Foundations of Computer Science,LFCS,National: USA
"Logics in Artificial Intelligence, European Conference",JELIA,A
Machine Translation Summit,MT SUMMIT,C
Machine Vision Applications,MVA,National: japan
"Machines, Computations and Universality (was Universal Machines and Computations)",MCU,C
Malaysia International Conference on Communications,MICC,Regional
Mathematics of Program Construction,MPC,B
Measurement and Modeling of Computer Systems,SIGMETRICS,A*
Medical Image Computing and Computer-Assisted Intervention,MICCAI,A
Mensch & Computer,MuC,National: Germany
Mobile and Ubiquitous Multimedia (ACM),MUM,B
Modelling and Optimization: Theory and Applications,MOPTA,National: USA
Multimedia and Network Information Systems,MISSI,National: Poland
National Conference of the American Association for Artificial Intelligence,AAAI,A*
National Conference of The Australian Society for Operations Research,ASOR,Australasian C
Network and Operating System Support for Digital Audio and Video,NOSSDAV,B
New Security Paradigms Workshop,NSPW,C
New Zealand Game Developers Conference,NZGDC,Australasian C
Nordic Conference on Human-Computer Interaction,NordiCHI,Regional:Scandinavia
North American Association for Computational Linguistics,NAACL,A
"Pacific Asia Conference on Language, Information and Computation",PACLIC,C
Pacific Conference on Computer Graphics and Applications,PG,Journal Published
Pacific Rim International Conference on Artificial Intelligence,PRICAI,B
Pacific Rim International Symposium on Dependable Computing,PRDC,C
Pacific Rim Knowledge Acquisition Workshop,PKAW,C
Pacific Symposium on Biocomputing,PSB,National: USA
Pacific-Asia Conference on Knowledge Discovery and Data Mining,PAKDD,B
Pacific-Rim Symposium on Image and Video Technology,PSIVT,C
Parallel Problem Solving from Nature,PPSN,A
Passive and Active Measurement Conference,PAM,B
Pattern Languages of Programs,PLOP,C
Portuguese Conference on Artificial Intelligence,EPIA,National: Portugal
Practical Applications of Agents and Multiagent Systems,PAAMS,National: Spain
Practical Aspects of Declarative Languages,PADL,C
Practice and Theory of Automated Timetabling,PATAT,C
Prague Stringology Conference,PSC,National: Czech
Principles and Practice of Parallel Programming,PPoPP,B
Privacy Enhancing Technologies Symposium (was International Workshop of Privacy Enhancing Technologies),PETS,A
Privacy in Statistical Databases,PSD,C
Product Focused Software Process Improvement,PROFES,B
Real Time Systems Symposium,RTSS,A*
Richard Tapia Celebration of Diversity in Computing Conference,Tapia,National: USA
Robot Soccer World Cup,RoboCup,C
Robotics: Science and Systems,RSS,TBR
Selected Areas in Cryptography,SAC,B
Semantics - International Conference on Semantic Systems,Semantics,"Regional: Austria, Germany, Netherlands"
SGAI International Conference on Artificial Intelligence,SGAI,National: UK
SIAM Conference on Discrete Mathematics,DM,C
SIAM Conference on Optimization,OP,C
SIAM International Conference on Data Mining,SDM,A
SIGGRAPH Asia,SiggraphA,journal published
Simulation and Synthesis in Medical Imaging,SASHIMI,C
Simulation Technology and Training Conference,SimTecT,Australasian C
SKLOIS Conference on Information Security and Cryptology,Inscrypt,National: China
Smart Card Research and Advanced Application Conference,CARDIS,C
Software Process Improvement and Capability Determination,SPICE,C
Software Product Lines Conference,SPLC,B
"Software Quality, Reliability, and Security (was International Conference on Quality Software, QSIC, that merged with SERE 2015)",QRS,C
Static Analysis Symposium,SAS,B
Structural and Syntactical Pattern Recognition,SSPR,B
Symposium Model Analysis and Simulation of Computer and Telecommunications Systems,MASCOTS,B
Symposium of Asian Association for Algorithms and Computation,AAAC,C
Symposium on Advances in DB and Information Systems,ADBIS,C
Symposium on Geometry Processing,SGP,B
Symposium on High Performance Chips,HOTCHIPS (HCS),C
"Symposium on Networked Systems, Design and Implementation",NSDI,National: USA
Symposium on Parallelism in Algorithms and Architectures,SPAA,B
Symposium on Reliable Distributed Systems,SRDS,B
"Symposium on Stabilization, Safety, and Security of Distributed Systems",SSS,C
Symposium On Usable Privacy and Security,SOUPS,B
"Tangible, Embedded, and Embodied Interaction",TEI,B
Testbeds and Research Infrastructures for the Development of Networks and Communities,TridentCom,National: China
The ACM International System and Storage Conference,SYSTOR,National:Israel
The International Conference on Future Networks and Communications,FNC,Unranked
The International Conference on Intelligent Environments,IE,B
The International Conference on Verification and Evaluation of Computer and Communication Systems,VECoS,C
"The International Symposium on Research in Attacks, Intrusions and Defenses (was International Symposium on Recent Advances in Intrusion Detection)",RAID,A
The Symposium of Combinatorial Search,SoCS,B
The Theory and Application of Diagrams,DIAGRAMS,C
Theoretical Aspects of Rationality and Knowledge,TARK,A
Theory of Cryptography Conference,TCC,A
Tools and Algorithms for Construction and Analysis of Systems,TACAS,A
Usable Security and Privacy,USEC,National: USA
Usenix Annual Technical Conference,USENIX,A
Usenix Network and Distributed System Security Symposium,NDSS,A*
Usenix Security Symposium,USENIX-Security,A*
Usenix Symposium on Operating Systems Design and Implementation,OSDI,A*
USENIX Workshop on Hot Topics in Operating Systems,HotOS,A
Utility and Cloud Computing,UCC,Unranked
"Verification, Model Checking and Abstract Interpretation",VMCAI,B
Visual Analytics,EuroVA,C
Visual Information Communication and Interaction,VINCI,C
Visualization In Science and Education,GRC,National: USA
Web and Big Data,APWEB,C
Winter Simulation Conference,WSC,C
Workshop in Information Security Theory and Practices,WISTP,C
Workshop on Algorithm Engineering and Experiments,ALENEX,A
"Workshop on Algorithmic Approaches for Transportation Modelling, Optimization, and Systems",ATMOS,C
Workshop on Algorithms And Models For The Web Graph,WAW,C
Workshop on Algorithms in Bioinformatics,WABI,C
Workshop on Applications of Graph Theory in Wireless Ad hoc Networks and Sensor Networks,Graph-hoc,C
Workshop on Approximation and Online Algorithms,WAOA,B
Workshop on Computational Optimization,WCO,C
Workshop on Computer Architecture Education,WCAE,National: USA
Workshop on Constraint Satisfaction for Planning and Scheduling,COPLAS,C
Workshop on Cryptographic Hardware and Embedded Systems,CHES,A
Workshop on Domain Specific Modelling,DSM,C
Workshop on Fault Diagnosis and Tolerance in Cryptography,FDTC,C
Workshop on Formal Techniques for Java-like Programs,FTfJP,C
Workshop on Job Scheduling Strategies for Parallel Processing,JSSPP,C
"Workshop on Logic, Language, Information and Computation",WoLLIC,C
Workshop on Mobile Computing Systems and Applications,HOTMOBILE,National: USA
Workshop on Programming Languages and Operating Systems,PLOS,C
Workshop on the Arithmetic of Finite Fields,WAIFI,C
"World Conference on Educational Multimedia, Hypermedia and Telecommunications",ED-MEDIA,C
World Conference on Information Systems and Technologies,WorldCIST,C
"World Congress in Computer Science, Computer Engineering, and Applied Computing",WORLDCOMP,National: USA
"World Multi-Conference on Systemics, Cybernetics and Informatics",WMSCI,National: USA
