Title,Acronym,CORE,ERA Score,h5_index
International Colloquium on Structural Information and Communication Complexity,SIROCCO,B,B,
International Colloquium on Theoretical Aspects of Computing,ICTAC,C,B,10.0
International Computer Science Symposium in Russia,CSR,National: Russia,C,14.0
International Computer Software and Applications Conference,COMPSAC,B,B,19.0
International Computing Education Research Workshop,ICER,A,B,32.0
"International Conference Abstract State Machines, Alloy, B, TLA, VDM, and Z (Previously International Conference of B and Z Users, ZB, changed in 2008)",ABZ,C,,
International Conference and Exhibition on High Performance Computing in the Asia-Pacific Region,HPC Asia,C,B,12.0
International Conference and Workshops on Algorithms and Computation,WALCOM,B,,9.0
"International Conference for High Performance Computing, Networking, Storage and Analysis (was Supercomputing Conference)",SC,A,,1.0
International Conference Formal Concept Analysis Conference,ICFCA,C,C,
International Conference in Business Process Management,BPM,A,A,
International Conference in Methodologies and Intelligent Systems for Technology Enhanced Learning,MIS4TEL,National: Spain,,
International Conference of the Immersive Learning Research Network,iLRN,C,,18.0
International Conference on Advanced and Trusted Computing (was International Conference on Autonomic and Trusted Computing),ATC,C,,10.0
International Conference on Advanced Computing and Communications,AdCom,National: India,,48.0
International Conference on Advanced Data Mining and Applications,ADMA,C,B,7.0
International Conference on Advanced Information Networking and Applications (was ICOIN),AINA,B,,21.0
International Conference on Advanced Information Systems Engineering,CaiSE,A,,27.0
International Conference on Advanced Technologies For Signal & Image Processing,ATSIP,National: Tunisia,,13.0
International Conference on Advances in Computer-Human Interactions,ACHI,C,C,
International Conference on Advances in Mobile Computing and Multimedia,MOMM,C,B,
International Conference on Affective Computing and Intelligent,ACII,C,C,30.0
International Conference on Agents and Artificial Intelligence,ICAART,B,C,21.0
International Conference on Algorithms and Architectures for Parallel Processing,ICA3PP,C,B,12.0
International Conference on Algorithms and Complexity (was Italian Conference ),CIAC,C,C,
"International Conference on Analysis of Images, Social Networks and Texts",AIST,National: Russia,,
International Conference on Applications of Evolutionary Computation,EvoApplications,B,,17.0
International Conference on Applied Cryptography and Network Security,ACNS,B,B,
International Conference on Artificial Intelligence,IC-AI,National: USA,C,136.0
International Conference on Artificial Intelligence and Law,ICAIL,C,C,23.0
International Conference on Artificial Intelligence and Soft Computing,ICAISC,National: Poland,C,16.0
International Conference on Artificial Intelligence and Statistics,AISTATS,A,B,100.0
International Conference on Artificial Intelligence in Education,AIED,A,,
International Conference on Artificial Intelligence in Medicine,AIME,B,,
"International Conference on Artificial Intelligence in Music, Sound, Art and Design",EvoMUSART,C,,
"International Conference on Artificial Intelligence: Methodology, Systems, Applications",AIMSA,National: Bulgaria,,
International Conference on Artificial Neural Networks,ICANN,C,B,32.0
International Conference on Artificial Reality and Telexistance & Eurographics Symposium on Virtual Environments,EGVE,C,,11.0
International Conference on Automated Deduction,CADE,A,A,24.0
International Conference on Automated Planning and Scheduling,ICAPS,A*,A,35.0
"International Conference on Availability, Reliability and Security",ARES,B,B,34.0
"International Conference on Broadband Communications, Networks and Systems",Broadnets,C,,
International Conference on Case-Based Reasoning,ICCBR,C,,17.0
International Conference on Cloud Computing and Services Science,CLOSER,C,,15.0
"International Conference on Collaborative Computing: Networks, Applications and Worksharing",CollaborateCom,C,,11.0
International Conference on COMmunication Systems & NETworkS,COMSNETS,National:India,,48.0
International Conference on Communication Systems and Applications,ICCSA,C,,8.0
International Conference on Compiler Construction,CC,B,A,21.0
"International Conference on Compilers, Architecture, and Synthesis for Embedded Systems",CASES,B,A,
"International Conference on Complex, Intelligent and Software Intensive Systems",CISIS,C,C,15.0
"International Conference on Complexity, Future Information Systems and Risk",COMPLEXIS,C,,
International Conference on Computability and Complexity in Analysis,CCA,C,C,
International Conference on Computational Collective Intelligence,ICCCI,B,,15.0
International Conference on Computational Creativity,ICCC,C,,19.0
International Conference on Computational Intelligence and Security,CIS,National: China,C,12.0
International Conference on Computational Linguistics,COLING,B,A,65.0
International Conference on Computational Molecular Biology,RECOMB,B,B,21.0
International Conference on Computational Science,ICCS,Multiconference,A,28.0
International Conference on Computational Science and its Applications,ICCSA,C,,28.0
International Conference on Computer Analysis of Images and Patterns,CAIP,C,B,16.0
International Conference on Computer Communication and Networks,ICCCN,B,,38.0
"International Conference on Computer Safety, Reliability and Security",SAFECOMP,B,B,20.0
International Conference on Computer Supported Cooperative Work in Design,CSCWD,C,B,17.0
International Conference on Computer Supported Education,CSEDU,B,,21.0
International Conference on Computer Vision and Graphics,ICCVG,National: Poland,,14.0
International Conference on Computer Vision Systems,ICVS,C,C,16.0
International Conference on Computer-Human Interaction Research and Applications,CHIRA,C,,8.0
International Conference on Computers and their Applications,CATA,National: USA,C,10.0
International Conference on Computers Helping People with Special Needs,ICCHP,C,C,12.0
International Conference on Computers in Education,ICCE,C,B,10.0
International Conference on Computing and Combinatorics,COCOON,National:China,A,9.0
International Conference on Computing and Informatics,ICOCI,C,C,32.0
International Conference on Conceptual Modelling,ER,A,A,20.0
International Conference on Concurrency Theory,CONCUR,A,A,18.0
"International Conference on Control, Automation, Robotics and Vision",ICARCV,C,A,13.0
"International Conference on Control, Decision and Information Technologies",CoDIT,C,,19.0
International Conference on Cooperative Information Systems,CoopIS,B,,
International Conference on Coordination Models and Languages,Coordination,C,,161.0
International Conference on Cryptology and Network Security,CANS,B,B,46.0
International Conference on Cryptology in India,INDOCRYPT,National: India,B,17.0
International Conference on Cyberworlds (was International Symposium on Cyberworlds),CW,C,B,
International Conference on Data Engineering,ICDE,A*,A,69.0
"International Conference on Data Science, Technology and Applications",DATA,C,,10.0
International Conference on Database and Expert Systems Applications,DEXA,C,B,15.0
International Conference on Database Systems for Advanced Applications,DASFAA,B,C,23.0
International Conference on Database Theory,ICDT,A,A,19.0
International Conference on Dependability of Computer Systems,DEPCoS,National: Poland,C,
"International Conference on Dependable, Autonomic and Secure Computing",DASC,C,C,21.0
International Conference on Digital Society,ICDS,C,C,5.0
International Conference on Distributed Computing and Artificial Intelligence,DCAI,National(Spain),,20.0
International Conference on Distributed Computing and Internet Technologies,ICDCIT,National: India,,
International Conference on Distributed Computing and Networking,ICDCN,National: India,,13.0
International Conference on Distributed Computing Systems,ICDCS,A,,48.0
International Conference on Dublin Core and Metadata Applications,DC,C,,37.0
International Conference on Electronic Commerce,ICEC,C,,13.0
International Conference on Embedded and Real Time Computing Systems and Applications,RTCSA,B,,13.0
International Conference on Embedded Wireless Systems and Networks (wasEuropean Conference on Wireless Sensor Networks),EWSN,B,,
International Conference on Emerging Ubiquitous Systems and Pervasive Networks,EUSPN,Unranked,,
International Conference on Engineering Applications of Neural Networks,EANN,C,,
International Conference on Entertainment Computing,ICEC,C,,11.0
International Conference on Evaluation and Assessment in Software Engineering,EASE,A,,25.0
International Conference on Evaluation of Novel Approaches to Software Engineering,ENASE,B,,15.0
International Conference on Formal Engineering Methods,ICFEM,C,,11.0
International Conference on Formal Methods and Models for Co-Design,MEMOCODE,C,,
International Conference on Formal Ontology in Information Systems,FOIS,B,,
International Conference on Formal Structures for Computation and Deduction,FSCD,B,,16.0
International Conference on Frontiers of Handwriting Recognition,ICFHR,B,,
International Conference on Frontiers of Information Technology,FIT,National: Pakistan,,8.0
International Conference on Functional Programming,ICFP,A,,
International Conference on Generative Programming and Component Engineering,GPCE,B,,
International Conference on Graph Transformations,ICGT,B,,
"International Conference on Green, Pervasive and Cloud Computing (was Grid and Pervasive Computing)",GPC,C,,
"International Conference on Hardware/Software Codesign and System Synthesis (previously ISSN, changed in 2003)",CODES+ISSS,C,,
"International Conference on Heterogeneous Networking for Quality, Reliability, Security and Robustness (was International Conference on Quality of Service in Heterogeneous Wired/Wireless Networks)",Qshine,C,,
International Conference on High Performance Computing,HiPC,National: India,,24.0
International Conference on High Performance Scientific Computing,HPSC,National: Vietnam,,20.0
International Conference on Human Factors in Computing Systems,CHI,A*,,129.0
International Conference on Human-Computer Interaction with Mobile Devices and Services,MobileHCI,B,,
International Conference on Hybrid Artificial Intelligence Systems,HAIS,National: Spain,,11.0
International Conference on Hybrid Intelligent Systems,HIS,C,,15.0
International Conference on Image Analysis and Processing,ICIAP,National: Italy,,19.0
International Conference on Image and Graphics,ICIG,National: China,,13.0
International Conference on Image and Signal Processing,ICISP,C,,17.0
International Conference on Implementation and Application of Automata,CIAA,C,,
International Conference on Indoor Positioning and Indoor Navigation,IPIN,C,,20.0
International Conference on Industrial and Engineering Applications of Artificial Intelligence and Expert Systems,IEA/AIE,C,,16.0
International Conference on Informatics & Data-Driven Medicine,IDDM,C,,22.0
"International Conference on Informatics in Control, Automation and Robotics",ICINCO,C,,14.0
International Conference on Information and Communication Technologies and Development,ICTD,C,,20.0
International Conference on Information and Communication Technologies for Ageing Well and e-Health,ICT4AWE,C,,11.0
International Conference on Information and Communication Technologies in Tourism,ENTER,C,,
International Conference on Information and Communications Security,ICICS,C,,
International Conference on Information and Knowledge Engineering,IKE,National: USA,,
International Conference on Information Fusion,FUSION,C,,23.0
International Conference on Information Processing and Management of Uncertainty,IPMU,C,,12.0
International Conference on Information Security and Cryptography,SECRYPT,C,,46.0
International Conference on Information Security and Cryptology,ICISC,National: Korea,,46.0
International Conference on Information Systems Security,ICISS,National: India,,22.0
International Conference on Information Systems Security and Privacy,ICISSP,C,,22.0
International Conference on Information Technology and Applications,ICITA,Australasian C,,11.0
International Conference on Information Visualisation,IV,C,,15.0
International Conference on Innovations for Community Services (was Innovative Internet Computer Systems IICS until 2014),I4CS,C,,
International Conference on Integration of Artificial Intelligence and Operations Research Techniques in Constraint Programming for Combinatorial Optimization Problems,CPAIOR,B,,
International Conference on Intelligent Data Engineering and Automated Learning,IDEAL,C,,14.0
"International Conference on Intelligent Software Methodologies, Tools, and Techniques (was International Conference on Software Methods and Tools)",SoMeT,C,,10.0
International Conference on Intelligent Systems and Knowledge Engineering,ISKE,National: China,,9.0
International Conference on Intelligent Systems Designs and Applications,ISDA,C,,13.0
International Conference on Intelligent Text Processing and Computational Linguistics,CICLING,C,,
International Conference on Intelligent Tutoring Systems,ITS,B,,17.0
International Conference on Intelligent User Interfaces,IUI,A,,52.0
International Conference on Interactive Digital Storytelling (2008 merger of 'ICVS International Conference on Virtual Storytelling' and 'TIDSE Technology for Interactive Digital Storytelling'),ICIDS,C,,
International Conference on Internet and Web Applications and Services,ICIW,C,,
International Conference on Internet Computing in Science and Engineering,ICICSE,C,,
International Conference on Internet Monitoring and Protection,ICIMP,C,,
"International Conference on Internet of Things, Big Data and Security",IoTBDS,C,,
International Conference on Internet Technologies and Applications,ITA,National: USA,,2.0
International Conference on Knowledge Engineering and Knowledge Management,EKAW,B,,10.0
International Conference on Knowledge Engineering and Ontology Development,KEOD,C,,
"International Conference on Knowledge Science, Engineering and Management",KSEM,C,,
International Conference on Knowledge-Based and Intelligent Information and Engineering Systems,KES,B,,11.0
International Conference on Language and Automata Theory and Applications,LATA,C,,24.0
International Conference on Learning Analytics and Knowledge,LAK,A,,
International Conference on Learning Representations,ICLR,A*,,304.0
International Conference on Legal Knowledge and Information Systems,JURIX,C,,15.0
International Conference on Logic Programming,ICLP,A,,
International Conference on Logic Programming and Non-monotonic Reasoning,LPNMR,B,,
International Conference on Machine Learning,ICML,A*,,268.0
International Conference on Machine Learning and Applications,ICMLA,C,,35.0
International Conference on Machine Learning and Cybernetics,ICMLC,National: China,,12.0
International Conference on Machine Vision,ICMV,C,,268.0
International Conference on Managed Programming Languages and Runtimes (was ManLang and previously Principles and Practice of Programming in Java: PPPJ),MPLR,C,,
International Conference on Management of Data,COMAD,National: India,,73.0
International Conference on Management of Digital EcoSystems,MEDES,C,,12.0
International Conference on Mathematical Foundations of Programming Semantics,MFPS,B,,
International Conference on Methods and Models in Automation and Robotics,MMAR,National:Poland,,11.0
International Conference on Mobile and Ubiquitous Systems: Networks and Services,Mobiquitous,C,,15.0
International Conference on Mobile Data Management,MDM,B,,19.0
International Conference on Mobile Systems and Pervasive Computing,MobiSPC,Unranked,,15.0
"International Conference on Mobile Ubiquitous Computing, Systems, Services and Technologies",UBICOMM,C,,
International Conference on Model and Data Engineering,MEDI,C,,10.0
"International Conference on Model Driven Engineering Languages and Systems (Previously UML, changed in 2005)",MODELS,A,,
International Conference on Model-Driven Engineering and Software Development,MODELSWARD,C,,13.0
International Conference on Modelling and Simulation,ECMS,Multiconference,,18.0
International Conference on Modelling Decisions for Artificial Intelligence,MDAI,B,,
International Conference on Multimedia Modelling,MMM,B,,
International Conference on Multimedia Retrieval (previously MIR),ICMR,B,,
International Conference on Multimodal Interaction (was International Conference on Multimodal Interfaces),ICMI,B,,31.0
International Conference on Natural Computation,ICNC,National: China,,13.0
International Conference on Network and Service Management (amalgamation of DSOM and related workshops from 2010),CNSM,B,,
International Conference on network and System Security,NSS,B,,
International Conference on Network Protocols,ICNP,B,,27.0
International Conference on Network Softwarization,NetSoft,B,,26.0
International Conference on Neural Information Processing,ICONIP,B,,27.0
International Conference on Operations Research and Enterprise Systems,ICORES,C,,10.0
International Conference on Optimization: Techniques And Applications,ICOTA,C,,
International Conference on Pairing-based Cryptography,Pairing,C,,
"International Conference on Parallel and Distributed Computing, Applications and Technologies",PDCAT,C,,
International Conference on Parallel and Distributed Processing Techniques and Applications,PDPTA,National: USA,,
International Conference on Parallel and Distributed Systems,ICPADS,B,,21.0
International Conference on Parallel Architecture and Compilation Techniques,PACT,B,,21.0
International Conference on Parallel Processing,ICPP,B,,38.0
International Conference on Parallel Processing and Applied Mathematics,PPAM,National: Poland,,10.0
International Conference on Pattern Recognition,ICPR,B,,56.0
International Conference on Pattern Recognition Applications and Methods,ICPRAM,C,,21.0
International Conference on Practical Applications of Computational Biology & Bioinformatics,PACBB,National(Spain),,
International Conference on Practice and Theory in Public Key Cryptography,PKC,B,,35.0
International Conference on Principles and Practice of Constraint Programming,CP,A,,20.0
International Conference on Principles and Practice of Declarative Programming,PPDP,C,,
International Conference on Principles of Distributed Systems,OPODIS,B,,18.0
International Conference on Principles of Practice in Multi-Agent Systems (prior to 2009 was Pacific Rim International Workshop on Multi-Agents),PRIMA,B,,13.0
"International Conference on Probabilistic, Combinatorial, and Asymptotic Methods in the Analysis of Algorithms (was Conference on Analysis of Algorithms)",AofA,C,,
International Conference on Process Mining,ICPM,B,,24.0
International Conference on Provable Security,ProvSec,C,,
International Conference on Quality of Multimedia Experience,QoMEX,B,,
International Conference on Real-Time and Network Systems,RTNS,National: France,,
International Conference on Recent Advances in Natural Language Processing,RANLP,National: bulgaria,,25.0
International Conference on Relational and AlgebraicMethods in Computer Science (was International Conference on Relational Methods in Computer Science RelMiCS),RAMiCS,C,,
International Conference on Reliable Software Technologies,Ada-Europe,Journal Published,,
International Conference on Research Challenges in Information Science,RCIS,B,,18.0
International Conference on Reversible Computation,RC,C,,18.0
International Conference on Risks and Security of Internet and Systems,CRiSIS,C,,
"International Conference on Robotics, Vision, Signal Processing and Power Applications (was ROVPIA)",RoVISP,National: Malaysia,,
International Conference on Runtime Verification (was workshop pre 2010),RV,B,,
International Conference on Scientific and Statistical Data Base Management,SSDBM,B,,12.0
International Conference on Security and Privacy for Communication Networks,SecureComm,C,,
International Conference on Security of Information and Networks,SIN,C,,
International Conference on Sequences and their Applications,SETA,C,,
International Conference on Service Oriented Computing,ICSOC,A,,20.0
International Conference on Similarity Search and Applications,SISAP,B,,
International Conference on Smart homes and health Telematics,ICOST,C,,
International Conference on Software and Data Technologies,ICSoft,C,,
International Conference on Software and System Processes (was ICSP prior to 2011),ICSSP,B,,
International Conference on Software Architecture (was previously WICSA),ICSA,A,,
International Conference on Software Engineering,ICSE,A*,,84.0
International Conference on Software Engineering Advances,ICSEA,C,,14.0
International Conference on Software Engineering and Formal Methods,SEFM,B,,
International Conference on Software Engineering and Knowledge Engineering,SEKE,C,,17.0
"International Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing",SNPD,C,,13.0
International Conference on Software Language Engineering,SLE,B,,24.0
International Conference on Software Quality Management,SQM,C,,
International Conference on Software Reuse,ICSR,B,,
"International Conference on Software Testing, Verification and Validation",ICST,A,,32.0
International Conference on Sustainable Energy Information Technology,SEIT,Unranked,,16.0
International Conference on Systems Engineering,ICSEng,C,,27.0
International Conference on Technical Debt,TechDebt,B,,
International Conference on Testing Software and Systems,ICTSS,C,,
International Conference on Tests and Proofs,TAP,C,,
International Conference on the Application and Theory of Petri Nets and Concurrency,Petri Nets,B,,14.0
International Conference on the Foundations of Digital Games,FDG,C,,
International Conference on the Principles of Knowledge Representation and Reasoning,KR,A*,,23.0
International Conference on the Quality of Information and Communications Technology,QUATIC,C,,14.0
International Conference on the Simulation and Synthesis of Living Systems,ALIFE,C,,
International Conference on the Statistical Analysis of Textual Data,JADT,C,,
International Conference on the Theory and Application of Cryptographic Techniques,EuroCrypt,A*,,
International Conference on the Theory and Application of Cryptology and Information Security,ASIACRYPT,A,,46.0
International Conference on the Theory of Information Retrieval,ICTIR,Unranked,,
International Conference on Theorem Proving with Analytic Tableaux and Related Methods,TABLEAUX,B,,
International Conference on Theory and Applications of Satisfiability Testing,SAT,A,,
International Conference on Theory and Practice of Digital Libraries (was ECDL until 2010),TPDL,B,,
International Conference on Tools with Artificial Intelligence,ICTAI,B,,28.0
"International Conference on Trust, Privacy and Security in Digital Business",TrustBus,B,,
"International Conference on Trust, Security and Privacy in Computing and Communications",TrustCom,B,,29.0
International Conference on Ubiquitous Intelligence and Computing,UIC,C,,4.0
International Conference on Unconventional Computation and Natural Computation (was International Conference on Unconventional Computation),UC,C,,28.0
"International Conference on User Modelling, Adaptation, and Personalization (was AH and UM)",UMAP,B,,31.0
International Conference on Vehicle Technology and Intelligent Transport Systems,VEHITS,C,,16.0
International Conference on Very Large Databases,VLDB,A*,,79.0
International Conference on Virtual Execution Environments,VEE,B,,
International Conference on Virtual Rehabilitation,ICVR,Unranked,,10.0
International Conference on VLSI Design,VLSID,National: India,,
International Conference on Web and Social Media,ICWSM,A,,56.0
International Conference on Web Engineering,ICWE,B,,18.0
International Conference on Web Information Systems and Technologies,WEBIST,C,,14.0
International Conference on Web Information Systems Engineering,WISE,B,,18.0
International Conference on Wireless Networks and Mobile Communications,WINCOM,National:Morocco,,19.0
"International Conference: Sciences of Electronics, Technologies of information and Telecommunication",SETIT,Unranked,,
"International Conferences in Central Europe on Computer Graphics, Visualization and Computer Vision",WSCG,National: Czecholslovakia,,
International Congress on Computational and Applied Mathematics,ICCAM,C,,1.0
International Congress on Modelling and Simulation,MODSIM,Australasian C,,5.0
International Cross-Domain Conference for Machine Learning and Knowledge Extraction,CD-MAKE,C,,20.0
International CSI Computer Conference,CSICC,National: Iran,,13.0
International Database Engineering and Applications Symposium,IDEAS,C,,20.0
International European Conference on Parallel and Distributed Computing (was International Conference on Parallel Processing),EuroPar,B,,
International FLINS Conference on Robotics and Artificial Intelligence (was International Fuzzy Logic and Intelligent technologies in Nuclear Science Conference),FLINS,C,,9.0
International Frontiers of Algorithmics Workshop,FAW,National: China,,
International Joint Conference on Artificial Intelligence,IJCAI,A*,,136.0
International Joint Conference on Automated Reasoning,IJCAR,A,,
"International Joint Conference on Autonomous Agents and Multiagent Systems (previously the International Conference on Multiagent Systems, ICMAS, changed in 2000)",AAMAS,A*,,
International Joint Conference on Biometrics,IJCB,B,,
International Joint Conference on Computational Intelligence,IJCCI,C,,136.0
"International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management",IC3K,C,,10.0
International Joint Conference on Natural Language Processing,IJCNLP,B,,32.0
International Joint Conference on Rough Sets (2014 International Conference on Rough Sets and Current Trends in Computing joined with 3 others),IJCRS (was RSCTC),C,,
International Joint Conference on Rules and Reasoning,RuleML+RR,B,,
International KES Conference on Agents and Multiagent systems - Technologies and Applications,KES AMSTA,C,,
International Machine Vision and Image Processing Conference,IMVIP,National: ireland,,4.0
International Natural Language Generation Conference,INLG,B,,29.0
International Network Optimization Conference,INOC,C,,
International Picture Coding Symposium,PCS,C,,16.0
International Semantic Web Conference,ISWC,A,,37.0
International Symposium 'Problems of Redundancy in Information and Control Systems',Redundancy,National Russia,,10.0
International Symposium on Algorithmic Game Theory,SAGT,B,,
International Symposium on Algorithms and Computation,ISAAC,A,,15.0
International Symposium on Algorithms and Experiments for  Wireless Networks,Algosensors,C,,
International Symposium on Applied Computational Intelligence and Informatics,SACI,National: Romania,,13.0
International Symposium on Applied Machine Intelligence and Informatics,SAMI,National: slovakia,,
International Symposium on Artificial Intelligence and Mathematics,ISAIM,National: USA,,9.0
International Symposium on Artificial Life and Robotics,AROB,C,,
International Symposium on Automated Technology for Verification and Analysis,ATVA,B,,
International Symposium on Automation and Robotics in Construction,ISARC,C,,25.0
International Symposium on Autonomous Decentralized Systems,ISADS,C,,
International Symposium on Code Generation and Optimization,CGO,A,,25.0
International Symposium on Combinatorial Optimisation,ISCO,C,,
International Symposium on Computational Geometry,SoCG,A,,
International Symposium on Computer Architecture and High Performance Computing,SBAC-PAD,C,,12.0
International Symposium on Distributed Computing (was WDAG),DISC,A,,22.0
International Symposium on Distributed Simulation and Real Time Applications,DS-RT,C,,14.0
International Symposium on Empirical Software Engineering and Measurement,ESEM,A,,28.0
International Symposium on Experimental Algorithms,SEA,B,,9.0
International Symposium on Formal Methods (was Formal Methods Europe FME),FM,A,,
International Symposium on Foundations of Intelligent Systems,ISMIS,C,,7.0
International Symposium on Functional and Logic Programming,FLOPS,National: Japan,,
International Symposium on Fundamentals of Computation Theory,FCT,B,,
International Symposium on Grids and Clouds (was International Symposium on Grid Computing),ISGC,C,,
International Symposium on High Performance Computer Architecture,HPCA,A*,,50.0
International Symposium on Information Assurance and Security,IAS,C,,8.0
International Symposium on Information Theory and Its Applications,ISITA,C,,20.0
International Symposium on Innovations in Intelligent Systems and Applications,INISTA,C,,18.0
International Symposium on Intelligent Systems and Informatics,SISY,National: serbia,,27.0
International Symposium on Latin American Theoretical Informatics,LATIN,B,,
"International Symposium on Leveraging Applications of Formal Methods, Verification and Validation",ISoLA,C,,18.0
International Symposium on Logic-based Program Synthesis and Transformation,LOPSTR,C,,
International Symposium on Mathematical Foundations of Computer Science,MFCS,A,,19.0
International Symposium on Memory Management,ISMM,C,,
International Symposium on Microarchitecture,MICRO,TBR,,61.0
"International Symposium on Modelling and Optimization in Mobile, Ad Hoc, and Wireless Networks",WiOpt,B,,16.0
"International Symposium on Networks, Computers and Communications",ISNCC,C,,28.0
International Symposium on Neural Networks,ISNN,C,,64.0
"International Symposium on New Ideas, New Paradigms, and Reflections on Programming and Software",Onward,C,,
International Symposium on Open Collaboration (was International Symposiums on Wikis),OPENSYM,C,,
International Symposium on Parallel and Distributed Computing,ISPDC,C,,15.0
International Symposium on Parameterized and Exact Computation (was IWPEC pre 2004),IPEC,B,,
International Symposium on Robotics Research,ISRR,C,,
International Symposium on Search Based Software Engineering,SSBSE,B,,
International Symposium on Software Engineering for Adaptive and Self-Managing Systems,SEAMS,A,,
"International Symposium on Software Engineering: Theories, Tools, and Applications",SETTA,National:China,,
International Symposium on Software Reliability Engineering,ISSRE,A,,28.0
International Symposium on Software Testing and Analysis,ISSTA,A,,45.0
International Symposium on Spatial and Temporal Databases,SSTD,B,,
International Symposium on Spatial Data Handling,SDH,C,,
International Symposium on Spatial Data Quality,ISSDQ,C,,
International Symposium on String Processing and Information Retrieval,SPIRE,C,,13.0
International Symposium on Symbolic and Algebraic Computation,ISSAC,A,,14.0
International Symposium on Symbolic and Numeric Algorithms for Scientific Computing,SYNASC,National: romania,,10.0
International Symposium on Technology and Society,ISTAS,C,,11.0
International Symposium on Temporal Representation and Reasoning,TIME,C,,
International Symposium on the Mathematical Theory of Networks and Systems,MTNS,C,,
International Symposium on Theoretical Aspects of Computer Science,STACS,A,,20.0
International Symposium on Theoretical Aspects of Software Engineering,TASE,National: China,,9.0
International Symposium on Ubiquitous Virtual Reality,ISUVR,National: S. Korea,,
International Symposium on Visual Computing,ISVC,National: USA,,18.0
International Telecommunication Networks and Applications Conference (was Australian Telecommunication Networks and Applications Conference),ITNAC,Australasian C,,
International Teletraffic Congress,ITC,Unranked,,
International Visualization in Transportation Symposium,TRB,National: USA,,
International Wordnet Conference (Global Wordnet Conference),GWC,C,,
International Work-Conference on Artificial and Natural Neural Networks,IWANN,National: Spain,,16.0
International Work-conference on the Interplay between Natural and Artificial Computation,IWINAC,National,,13.0
International Workshop on Algebraic and Combinatorial Coding Theory,ACCT,National,,
International Workshop on Approximation Algorithms for Combinatorial Optimization Problems and International Conference on Randomization and Computation,APPROX/RANDOM,A,,18.0
International Workshop on Combinations of Intelligent Methods and Applications,CIMA,C,,
International Workshop on Combinatorial Algorithm,IWOCA,C,,11.0
International Workshop on Combinatorial Image Analysis: Theory and Applications,IWCIA,C,,
"International Workshop on Coordination, Organizations, Institutions, Norms and Ethics for Governance of Multi-Agent Systems (Ethics added 2020)",COINE,C,,
International Workshop on Critical Information Infrastructures Security,CRITIS,C,,
International Workshop on Data Management on New Hardware,DaMoN,C,,
International Workshop on Data Warehousing and OLAP,DOLAP,C,,
International Workshop on Digital Watermarking,IWDW,C,,10.0
International Workshop on Document Analysis Systems,DAS,B,,3.0
International Workshop on Enterprise and Organizational Modelling and Simulation,EOMAS,C,,
International Workshop on Fast Software Encryption,FSE,Journal Published,,
International Workshop on Formal Methods for interactive Systems,FMIS,C,,
International Workshop on Graph-Theoretic Concepts in Computer Science,WG,B,,14.0
International workshop on High-Level Parallel Programming and Applications,HLPP,C,,
International Workshop on High-Level Parallel Programming Models and Supportive Environments,HIPS,C,,
International Workshop on Information Security Applications,WISA,National: korea,,26.0
International Workshop on Modelling in Software Engineering,MISE,C,,
International Workshop on MultiAgent Based Simulation,MABS,C,,
International Workshop on Multimedia Signal Processing,MMSP,C,,
International Workshop on Post-Quantum Cryptography,PQCrypto,C,,25.0
International Workshop on Principles of Diagnosis,DX,C,,
International Workshop on Requirements Engineering: Foundation for Software Quality,REFSQ,B,,20.0
International Workshop on Security,IWSEC,National: Japan,,47.0
International Workshop on Soft Computing Applications,SOFA,National: Romania,,
International Workshop on Software and Compilers for Embedded Systems,SCOPES,C,,
International Workshop on the Algorithmic Foundations of Robotics,WAFR,C,,
International Workshop on Visualization for Cyber Security,VizSec,C,,
International Workshop on Web and Wireless Geographical Information Systems,W2GIS,C,,
International Workshops on Enabling Technologies: Infrastructures for Collaborative Enterprises,WETICE,C,,16.0
International World Wide Web Conference,WWW,A*,,112.0
Internet Measurement Conference,IMC,A,,45.0
Interspeech (combined EuroSpeech and ICSLP in 2000),Interspeech,A,,
ISC High Performance (was International Supercomputing Conference),ISC,C,,
ISCA International Conference on Computer Applications in Industry and Engineering,CAINE,C,,
Joint Conference of the International Workshop on Software Measurement and the International Conference on Software Process and Product Measurement (IWSM and Mensura combined from 2007),IWSM Mensura,C,,
"Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications (GRAPP and VISAPP combined from 2008)",VISIGRAPP,Multiconference,,
KES International Symposium on Intelligent Decision Technologies,KES IDT,C,,
Knowledge capture,K-CAP,B,,16.0
Knowledge Domain Visualisation,KDViz,National: UK,,
Knowledge Visualization and Visual Thinking,KV,C,,
Language Resources and Evaluation Conference,LREC,B,,59.0
"Language, Data and Knowledge",LDK,C,,
Latin American Conference on Informatics,CLEI,C,,11.0
"Latin-American Algorithms, Graphs and Optimization Symposium",LAGOS,C,,
Logic Programming and Automated Reasoning,LPAR,B,,
Logical Foundations of Computer Science,LFCS,National: USA,,
"Logics in Artificial Intelligence, European Conference",JELIA,A,,13.0
Machine Translation Summit,MT SUMMIT,C,,
Machine Vision Applications,MVA,National: japan,,43.0
"Machines, Computations and Universality (was Universal Machines and Computations)",MCU,C,,3.0
Malaysia International Conference on Communications,MICC,Regional,,
Mathematics of Program Construction,MPC,B,,
Measurement and Modeling of Computer Systems,SIGMETRICS,A*,,40.0
