conference,h5_index,core_rank,era_rank,qualis_rank,deadline,notification,start,end,location,name,topics
PERCOM,27.0,A*,A,A2,6-Oct,,,,,International Conference on Pervasive Computing and Communications,"middleware systems and services 
 data engineering for pervasive computing 
 cloud, fog and edge computing 
 integrations of smartphones in pervasive experiences 
 applications of device-to-device coordination. 
 context modeling and reasoning 
 adaptive computing 
 activity and emotion recognition 
 programming paradigms 
 applied machine learning 
 deep machine learning 
 federated learning 
 causal learning 
 cognitive computing 
 complex networks 
 spatio-temporal modeling techniques. 
 urban/mobile crowdsensing & intelligence 
 PerCom for healthcare and well-being 
 smart homes and virtual assistants 
 innovative PerCom applications (e.g., sports analytics, crime prevention, pervasive nowcasting). 
 opportunistic networks 
 IoT and sensor systems 
 RFID systems 
 pervasive data science, and cyber physical systems. 
 participatory and social sensing 
 trust, security, and privacy 
 user interface, interaction, and persuasion 
 online and offline social networking and pervasive computing. 
 architectures, protocols, and technologies for pervasive communications 
 energy-harvesting, self-powered, or battery-less systems 
 mobile and wearable systems 
 smart devices and environments 
 positioning and tracking technologies 
 wireless crowd-recharging 
 device-free human sensing."
ICBC,15.0,,,,20-Dec,,,,,IEEE International Conference on Blockchain and Cryptocurrency,"Distributed Consensus & Fault Tolerance Algorithms 
 Performance, Scalability Issues 
 Distributed Database Technologies for Blockchain 
 Blockchain Platforms 
 Blockchain-based Applications & Services 
 Decentralized App Development 
 Smart Contracts and Verification 
 Security, Privacy, Attacks, Forensics 
 Transaction Monitoring and Analysis 
 Token Economy 
 Regulations & Policies in Cryptocurrency 
 Novel Mechanisms for the Creation, Custody, and Exchange of Cryptoassets 
 Anonymity and Criminal Activities of the Cryptocurrency 
 Managing the Risks of Cryptocurrency 
 Distributed Trust 
 Decentralized Internet Infrastructure 
 Decentralized Financial Services 
 Blockchain for Internet of Things/Cyber Physical Services 
 Blockchain and Machine Learning/Artificial Intelligence"
COMSNETS,21.0,,,,1-Sep,,,,,International Conference on Communication Systems & Networks,"Wireless 
 5G and wireless broadband networks 
 Technologies for 6-100 GHz spectrum 
 WLAN, RFID, and NFC 
 Visible light communications 
 Heterogeneous networks (HetNets) 
 Cognitive radio and white-space networking 
 CubeSats/Satellite networking 
 Long-range/Low-power wide-area wireless networking 
 Connected unmanned aerial/terrestrial/underwater systems 
 Data Center & Edge 
 Enterprise, data center, and storage-area networks 
 Edge & Cloud computing/networking 
 Green Networking 
 Economics of networks 
 Energy-efficient communications 
 Sustainable Networking 
 Architecture 
 Network architecture, protocols & science 
 Traffic analysis and engineering 
 Caching and Content delivery systems 
 Information/Content centric networks (ICN) 
 Network management and operations 
 SDN/NFV and Network Programmability 
 Internet Measurement and Modeling 
 Mobility & IoT 
 Mobility and location management 
 Mobile sensing 
 Vehicular networks and intelligent transportation 
 Internet of Things (IoT) 
 Smart Grid communications and networking 
 Machine Learning and AI in Networking & IoT 
 Blockchain & Security 
 Network security and privacy 
 Trusted computing 
 Blockchain and Distributed Ledger 
 Testbeds 
 Studies on testbeds and large-scale experimental platforms"
ICCCN,28.0,B,,B1,20-Mar,,,,,International Conference on Computer Communications and Networks,"Ad Hoc, Mesh, and Cellular Networks (AMCN) 
 Communication Networks Architectures, Algorithms, Measurement and Performance Evaluation (CAAME) 
 Social Networks and Computing (SNC) 
 Cyber Physical Networks and Internet of Things (IoT) 
 Security, Privacy, Trust and Incentives (SPTI) 
 Mobile, Edge, and Cloud Computing (MECC) 
 Software Defined Networks and Network Virtualization Technologies (SDN/NFV) 
 AI and Emerging Topics in Networking (AIETN)"
PAAMS,20.0,B,,B4,22-Apr,,,,,International Conference on Practical Applications of Agents and multi-agents systems,"Agent-based simulation and prediction 
 Distributed problem solving 
 Agent cooperation and negotiation 
 Agent societies and social networks 
 Real-time multi-agent systems 
 Human agent interaction, user interfaces 
 Adaptation, learning and personalization 
 Reputation, trust, privacy and security 
 Agent engineering and development tools 
 Evaluation, ethical and legal issues 
 Information recovery and information systems 
 Knowledge management and data intensive systems 
 Intelligent control and manufacturing systems 
 Embodied agents and autonomous systems 
 Multi-robot systems and real world robotics 
 Internet softbots and web intelligence 
 Virtual agents, animation and games 
 Pervasive agents and ambient intelligence 
 E-learning and educational systems 
 User-centered applications and assisting agents"
MOBIQUITOUS,17.0,B,A,B1,16-Aug,,,,,International Conference on Mobile and Ubiquitous Systems: Networks and Services,"Mobile User Experience 
 Security and Privacy 
 User Behaviour Analysis and Modelling 
 Crowdsourcing – Platforms and Applications 
 Internet of Things – Systems, Data Analytics, and Applications 
 Urban/mobile Crowd-sensing 
 Participatory Sensing 
 Wireless Access Technologies 
 Performance Analysis, Modelling and Measurement of Mobile Networks 
 Wearable Computing 
 Body Area Networks 
 Mobile Data Analysis and Mobile Platforms 
 Mobile Multimedia 
 Mobile User Interfaces and Interaction Technologies 
 Toolkit and Languages for Mobile Computing 
 Networked Sensing and Applications 
 Mobile Device Architectures 
 Mobile Systems and Applications 
 Mobile Data Management and Analytics 
 Energy Aware Mobile Computing 
 Pervasive Sensing 
 Localization and Tracking 
 Activity Recognition 
 Social Network Applications to Mobile Computing 
 Context and Location-based Applications and Services 
 AI and Machine Learning Algorithms and Application for Mobile Computing 
 Mobile Augmented Reality/Mixed Reality 
 Mobile Cloud Computing"
NDSS,76.0,A*,A,A1,21-May,,,,,Usenix Network and Distributed System Security Symposium,"Anti-malware techniques: detection, analysis, and prevention 
 Cyber-crime defense and forensics (e.g., anti-phishing, anti-blackmailing, anti-fraud techniques) 
 Security for future Internet architectures and designs (e.g., Software-Defined Networking) 
 Implementation, deployment and management of network security policies 
 Integrating security in network protocols (e.g., routing, naming, and management) 
 Cyber attack (e.g., APTs, botnets, DDoS) prevention, detection, investigation, and response 
 Software/firmware analysis, customization, and transformation for systems security 
 Privacy and anonymity in networks and distributed systems 
 Security and privacy for blockchains and cryptocurrencies 
 Public key infrastructures, key management, certification, and revocation 
 Security for cloud/edge computing 
 Security and privacy of mobile/smartphone platforms 
 Security for cyber-physical systems (e.g., autonomous vehicles, industrial control systems) 
 Security for emerging networks (e.g., home networks, IoT, body-area networks, VANETs) 
 Security for large-scale, critical infrastructures (e.g., electronic voting, smart grid) 
 Security and privacy of systems based on machine learning and AI 
 Security of Web-based applications and services (e.g., social networking, crowd-sourcing) 
 Special problems and case studies: e.g., tradeoffs between security and efficiency, usability, cost, and ethics 
 Usable security and privacy 
 Trustworthy Computing software and hardware to secure networks and systems"
BLOCKCHAIN,17.0,,,,1-Mar,,,,,IEEE International Conference on Blockchain,"Theories of blockchain and distributed ledger technology 
 New blockchain architecture 
 Distributed consensus and fault tolerance mechanisms 
 Security, privacy and trust of blockchain and distributed ledger technology 
 Decentralization, scalability, and security tradeoff 
 Performance analysis and optimization 
 Simulation and performance evaluation techniques 
 Smart contract and chain code 
 Applications and services based on blockchain 
 Protocols and algorithms based on blockchain 
 Blockchain in the Internet of things (IoT) 
 Blockchain in cyber physical systems 
 Blockchain in social networking 
 Blockchain in supply chain management 
 Blockchain in agriculture 
 Blockchain in connected and autonomous vehicles 
 Blockchain in crowdsourcing and crowdsensing 
 Blockchain in mobile cellular networks 
 Blockchain in edge and cloud computing 
 Blockchain in next generation communications and networks 
 Blockchain and Cryptocurrency 
 Blockchain and artificial intelligence 
 Blockchain and game theory 
 Blockchain and industry 4.0"
ESORICS,31.0,A,A,A2,31-Jan,,,,,European Symposium on Research in Computer Security,"Access Control 
 Anonymity and Censorship Resistance 
 Applied Cryptography 
 Artificial Intelligence for Security 
 Audit and Accountability 
 Authentication and Biometrics 
 Blockchains and Distributed Ledger Security 
 Cyber Attack (e.g., APTs, botnets, DDoS) prevention, detection, investigation, and response. 
 Data and Computation Integrity 
 Database Security 
 Digital Content Protection 
 Digital Forensics 
 Formal Methods for Security and Privacy 
 Hardware Security 
 Information Hiding 
 Identity Management 
 Information Flow Control 
 Information Security Governance and Management 
 Intrusion Detection 
 Language-based Security 
 Malware and Unwanted Software 
 Network Security 
 Phishing and Spam Prevention 
 Privacy Technologies and Mechanisms 
 Risk Analysis and Management 
 Secure Electronic Voting 
 Security Economics and Metrics 
 Security and Privacy of Systems based on Machine Learning and A.I. 
 Security and Privacy in Cloud / Fog Systems 
 Security and Privacy in Crowdsourcing 
 Security and Privacy in the IoT and Cyber-Physical Systems 
 Security and Privacy in Location-based Services 
 Security and Privacy for Mobile / Smartphone Platforms 
 Security for Emerging Networks (e.g., Home Networks, IoT, Body-Area Networks, VANETs) 
 Security, Privacy, and Resilience for Large-Scale, Critical Infrastructures (e.g., Smart Grid, AirPorts, Ports) 
 Security and Privacy in Social Networks 
 Security and Privacy in Wireless and Cellular Communications 
 Software Security 
 Systems Security 
 Trustworthy Computing to Secure Networks and Systems 
 Usable Security and Privacy 
 Web Security"
BLOCKSYS,5.0,,,,15-Apr,,,,,International Conference on Blockchain and Trustworthy Systems,"Theories and algorithms for Blockchain 
 Smart contracts for Blockchain 
 Security, privacy and trust for Blockchain 
 Blockchain based systems, service and application 
 Privacy computing based on blockchain 
 Theories and foundations for privacy computing 
 Parallel, distributed and scalable modelling for privacy protection 
 Privacy quantification, formal description, operation and modelling 
 Context adaptive cryptology for privacy protection 
 Privacy-preserving data processing and machine learning 
 Private information exchange and sharing models 
 Applied cryptography in privacy computing 
 Scalability and fault tolerance mechanisms for trustworthy systems 
 Algorithms, architecture, and techniques for trustworthy systems 
 Scalability and fault tolerance mechanisms for trustworthy systems 
 Security, safety, and risk management for trustworthy systems 
 Metrics and measurement for trustworthy systems 
 Quality assurance, maintenance and reverse engineering for trustworthy systems 
 Verification, validation, testing, and analysis for trustworthy systems 
 Communication, networking, optimization, and performance for trustworthy systems"
