Title,Acronym_x,CORE,ERA Score,Acronym_y,h5_index,h5_median
IEEE International Workshop on Quality of Service,IWQoS,B,B,IWQoS,22.0,30.0
IEEE LAN/MAN Workshop,LANMAN,C,,LANMAN,,
IEEE Network Operations and Management Symposium,NOMS,B,B,NOMS,27.0,40.0
IEEE Pacific Visualization Symposium (was APVIS),PacificVis,B,,PacificVis,,
IEEE Real-Time and Embedded Technology and Applications Symposium,RTAS,A,A,RTAS,28.0,45.0
IEEE Region 10 Conference,Tencon,C,,Tencon,30.0,39.0
IEEE Software Engineering Workshop,SEW,C,C,SEW,84.0,118.0
IEEE Swarm Intelligence Symposium,IEEE SIS,C,C,IEEE SIS,,
IEEE Symposium on Computational Intelligence and Data Mining,CIDM,C,C,CIDM,,
IEEE Symposium on Computational Intelligence for Financial Engineering,IEEE CIFEr,C,C,IEEE CIFEr,,
IEEE Symposium on Computational intelligence for Multimedia Signal and Vision Processing,IEEE CIMSIVP,C,C,IEEE CIMSIVP,,
IEEE Symposium on Computational Intelligence for Security and Defence Applications,IEEE CISDA,C,C,IEEE CISDA,,
IEEE Symposium on Computational Intelligence in Bioinformatics and Computational Biology,CIBCB,C,C,CIBCB,14.0,21.0
IEEE Symposium on Computational Intelligence in Control and Automation,IEEE CICA,C,C,IEEE CICA,,
IEEE Symposium on Computational Intelligence in Cyber Security,IEEE CICS,C,C,IEEE CICS,,
IEEE Symposium on Computer Arithmetic,ARITH,C,C,ARITH,,
IEEE Symposium on Computers and Communications,ISCC,C,B,ISCC,26.0,34.0
IEEE Symposium on Field Programmable Custom Computing Machines,FCCM,B,,FCCM,28.0,46.0
IEEE Symposium on Foundations of Computer Science,FOCS,A*,A,FOCS,55.0,74.0
IEEE Symposium on High-Performance Interconnects,HOTI,National: USA,B,HOTI,,
IEEE Symposium on Logic in Computer Science,LICS,A*,A,LICS,30.0,36.0
IEEE Symposium on Security and Privacy,SP,A*,,SP,112.0,179.0
IEEE Symposium on Visual Languages and Human-Centric Computing (was VL),VL/HCC,B,,VL/HCC,,
IEEE Vehicular Technology Conference,VTC,B,B,VTC,48.0,114.0
IEEE Visualization,IEEE VIS,A,A,IEEE VIS,89.0,124.0
IEEE VLSI Test Symposium,VTS,TBR,,VTS,18.0,24.0
IEEE Wireless Communications and Networking Conference,WCNC,B,B,WCNC,41.0,57.0
IEEE Workshop on Applications of Computer Vision,WACV,A,A,WACV,109.0,162.0
IEEE Workshop on High Performance Switching and Routing,HPSR,C,C,HPSR,,
IEEE/ACIS International Conference on Computer and Information Science,ICIS,C,C,ICIS,12.0,18.0
IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining,ASONAM,B,,ASONAM,,
"IEEE/ACM International Conference on Big Data Computing, Applications and Technologies",BDCAT,C,,BDCAT,9.0,17.0
IEEE/ACM International Conference on Computer-Aided Design,ICCAD,A,A,ICCAD,41.0,63.0
IEEE/ACM International Symposium on Mixed and Augmented Reality,ISMAR,A*,A,ISMAR,,
IEEE/IFIP International Conference on Dependable Systems and Networks,DSN,A,,DSN,37.0,53.0
IEEE/IFIP International Conference on Embedded and Ubiquitous Computing,EUC,C,C,EUC,,
IEEE/RSJ International Conference on Intelligent Robots and Systems,IROS,A,A,IROS,86.0,125.0
IEEE/WIC/ACM International Conference on Web Intelligence (previously joint with Intelligent Agent Technology WI-IAT),WI,B,,WI,24.0,43.0
IFAC Conference on System Structure and Control,SSSC,C,C,SSSC,,
"IFAC Symposium on Fault Detection, Supervision and Safety of Technical Processes",SAFEProcess,C,C,SAFEProcess,,
IFIP Information Security & Privacy Conference,IFIP SEC,B,,IFIP SEC,,
IFIP International Conference on Distributed Applications and Interoperable Systems,DAIS,C,,DAIS,,
IFIP International Conference on Network and Parallel Computing,NPC,C,C,NPC,7.0,9.0
IFIP International Conference on Networking,Networking,B,,Networking,24.0,32.0
"IFIP International Symposium on Computing Performance, Modelling, Measurement and Evaluation",PERFORMANCE,Journal Published,,PERFORMANCE,,
"IFIP Joint International Conference on Formal Description Techniques and Protocol Specification, Testing, And Verification",FORTE,C,A,FORTE,,
IFIP TC13 Conference on Human-Computer Interaction,Interact,B,,Interact,,
IFIP WG 11.3 Working Conference on Data and Applications Security (also known as DBSEC),DBSEC,B,,DBSEC,,
IFIP WG8.1 Working Conference on the Practice of Enterprise Modeling,PoEM,unranked: not primarily CS,,PoEM,,
IFIP Working Conferences on Virtual Enterprises,PRO-VE,C,C,PRO-VE,,
IFIP/IEEE International Conference on Performance Evaluation and Modeling in Wired and Wireless Networks,PEMWN,C,,PEMWN,,
IFIP/IEEE International Symposium on Integrated Management (even years sharing with NOMS),IM,B,,IM,,
IFSA World Congress,IFSA,C,B,IFSA,,
IMA International Conference on Cryptography and Coding,IMACC,C,,IMACC,,
Image and Vision Computing Conference,IVCNZ,Australasian C,B,IVCNZ,48.0,84.0
Indian Conference on Human-Computer Interaction,IndiaHCI,National: India,,IndiaHCI,,
Inductive Logic Programming,ILP,B,B,ILP,,
Industrial Simulation Conference,ISC,C,C,ISC,,
Information Hiding and Multimedia Security Workshop,IH&MMSec,C,,IH&MMSec,23.0,35.0
Information Integration and Web-based Applications and Services,IIWAS,C,C,IIWAS,15.0,22.0
Information Processing in Sensor Networks,IPSN,A*,A,IPSN,26.0,45.0
Information Security Conference,ISC,C,B,ISC,46.0,66.0
Information Security Practice and Experience Conference,ISPEC,C,B,ISPEC,10.0,13.0
Information Security Symposium,CERIAS,National: USA,C,CERIAS,24.0,35.0
Information Theory Workshop,ITW,B,B,ITW,24.0,29.0
Information Visualisation Theory and Practice,InfVis,C,,InfVis,,
Information Visualization in Biomedical Informatics,IVBI,C,C,IVBI,,
Informing Science and Information Technology Education,InSITE,C,,InSITE,,
Innovations in Theoretical Computer Science,ITCS,A,,ITCS,35.0,44.0
Innovative Applications in AI,IAAI,C,,IAAI,,
Int. Workshop on Formal Methods for Industrial Critical Systems,FMICS,C,C,FMICS,,
Integrated Formal Methods,IFM,B,B,IFM,12.0,17.0
Intelligent Data Analysis,IDA,B,A,IDA,20.0,33.0
Intelligent Distributed Computing,IDC,Unranked,,IDC,13.0,22.0
Intelligent Systems in Molecular Biology,ISMB,journal published,A,ISMB,,
Intelligent Vehicles Conference,IEEE-IV,B,,IEEE-IV,,
Intelligent Virtual Agents,IVA,B,B,IVA,23.0,33.0
Intenational Environmental Modelling and Software Society,iEMSs,C,,iEMSs,,
Interaction Design and Children (ACM),IDC,B,B,IDC,,
Interactive Entertainment,IE,Australasian C,B,IE,21.0,33.0
International ACM SIGACCESS Conference on Computers and Accessibility,ASSETS,A,,ASSETS,,
International Baltic Conference on Databases and Information Systems,DB&IS,Regional - Baltic,B,DB&IS,,
International Colloquium on Automata Languages and Programming,ICALP,A,A,ICALP,33.0,45.0
International Colloquium on Structural Information and Communication Complexity,SIROCCO,B,B,SIROCCO,11.0,15.0
International Colloquium on Theoretical Aspects of Computing,ICTAC,C,B,ICTAC,10.0,12.0
International Computer Science Symposium in Russia,CSR,National: Russia,C,CSR,10.0,15.0
International Computer Software and Applications Conference,COMPSAC,B,B,COMPSAC,29.0,45.0
International Computing Education Research Workshop,ICER,A,B,ICER,32.0,52.0
"International Conference Abstract State Machines, Alloy, B, TLA, VDM, and Z (Previously International Conference of B and Z Users, ZB, changed in 2008)",ABZ,C,,ABZ,,
International Conference and Exhibition on High Performance Computing in the Asia-Pacific Region,HPC Asia,C,B,HPC Asia,,
International Conference and Workshops on Algorithms and Computation,WALCOM,B,,WALCOM,9.0,17.0
"International Conference for High Performance Computing, Networking, Storage and Analysis (was Supercomputing Conference)",SC,A,,SC,,
International Conference Formal Concept Analysis Conference,ICFCA,C,C,ICFCA,,
International Conference in Business Process Management,BPM,A,A,BPM,,
International Conference in Methodologies and Intelligent Systems for Technology Enhanced Learning,MIS4TEL,National: Spain,,MIS4TEL,,
International Conference of the Immersive Learning Research Network,iLRN,C,,iLRN,18.0,27.0
International Conference on Advanced and Trusted Computing (was International Conference on Autonomic and Trusted Computing),ATC,C,,ATC,,
International Conference on Advanced Computing and Communications,AdCom,National: India,,AdCom,48.0,68.0
International Conference on Advanced Data Mining and Applications,ADMA,C,B,ADMA,11.0,15.0
International Conference on Advanced Information Networking and Applications (was ICOIN),AINA,B,,AINA,21.0,25.0
International Conference on Advanced Information Systems Engineering,CaiSE,A,,CaiSE,27.0,38.0
International Conference on Advanced Technologies For Signal & Image Processing,ATSIP,National: Tunisia,,ATSIP,13.0,17.0
International Conference on Advances in Computer-Human Interactions,ACHI,C,C,ACHI,,
International Conference on Advances in Mobile Computing and Multimedia,MOMM,C,B,MOMM,,
International Conference on Affective Computing and Intelligent,ACII,C,C,ACII,30.0,41.0
International Conference on Agents and Artificial Intelligence,ICAART,B,C,ICAART,21.0,38.0
International Conference on Algorithms and Architectures for Parallel Processing,ICA3PP,C,B,ICA3PP,12.0,17.0
International Conference on Algorithms and Complexity (was Italian Conference ),CIAC,C,C,CIAC,,
"International Conference on Analysis of Images, Social Networks and Texts",AIST,National: Russia,,AIST,11.0,18.0
International Conference on Applications of Evolutionary Computation,EvoApplications,B,,EvoApplications,17.0,25.0
International Conference on Applied Cryptography and Network Security,ACNS,B,B,ACNS,28.0,49.0
International Conference on Artificial Intelligence,IC-AI,National: USA,C,IC-AI,220.0,341.0
International Conference on Artificial Intelligence and Law,ICAIL,C,C,ICAIL,31.0,53.0
International Conference on Artificial Intelligence and Soft Computing,ICAISC,National: Poland,C,ICAISC,16.0,19.0
International Conference on Artificial Intelligence and Statistics,AISTATS,A,B,AISTATS,100.0,162.0
International Conference on Artificial Intelligence in Education,AIED,A,,AIED,41.0,63.0
International Conference on Artificial Intelligence in Medicine,AIME,B,,AIME,78.0,124.0
"International Conference on Artificial Intelligence in Music, Sound, Art and Design",EvoMUSART,C,,EvoMUSART,,
"International Conference on Artificial Intelligence: Methodology, Systems, Applications",AIMSA,National: Bulgaria,,AIMSA,,
International Conference on Artificial Neural Networks,ICANN,C,B,ICANN,32.0,47.0
International Conference on Artificial Reality and Telexistance & Eurographics Symposium on Virtual Environments,EGVE,C,,EGVE,,
International Conference on Automated Deduction,CADE,A,A,CADE,24.0,36.0
International Conference on Automated Planning and Scheduling,ICAPS,A*,A,ICAPS,35.0,49.0
"International Conference on Availability, Reliability and Security",ARES,B,B,ARES,34.0,53.0
"International Conference on Broadband Communications, Networks and Systems",Broadnets,C,,Broadnets,,
International Conference on Case-Based Reasoning,ICCBR,C,,ICCBR,17.0,24.0
International Conference on Cloud Computing and Services Science,CLOSER,C,,CLOSER,15.0,28.0
"International Conference on Collaborative Computing: Networks, Applications and Worksharing",CollaborateCom,C,,CollaborateCom,11.0,14.0
International Conference on COMmunication Systems & NETworkS,COMSNETS,National:India,,COMSNETS,28.0,37.0
International Conference on Communication Systems and Applications,ICCSA,C,,ICCSA,,
International Conference on Compiler Construction,CC,B,A,CC,,
"International Conference on Compilers, Architecture, and Synthesis for Embedded Systems",CASES,B,A,CASES,,
"International Conference on Complex, Intelligent and Software Intensive Systems",CISIS,C,C,CISIS,15.0,23.0
"International Conference on Complexity, Future Information Systems and Risk",COMPLEXIS,C,,COMPLEXIS,,
International Conference on Computability and Complexity in Analysis,CCA,C,C,CCA,,
International Conference on Computational Collective Intelligence,ICCCI,B,,ICCCI,15.0,21.0
International Conference on Computational Creativity,ICCC,C,,ICCC,19.0,27.0
International Conference on Computational Intelligence and Security,CIS,National: China,C,CIS,12.0,18.0
International Conference on Computational Linguistics,COLING,B,A,COLING,65.0,93.0
International Conference on Computational Molecular Biology,RECOMB,B,B,RECOMB,21.0,34.0
International Conference on Computational Science,ICCS,Multiconference,A,ICCS,45.0,74.0
International Conference on Computational Science and its Applications,ICCSA,C,,ICCSA,28.0,37.0
International Conference on Computer Analysis of Images and Patterns,CAIP,C,B,CAIP,16.0,24.0
International Conference on Computer Communication and Networks,ICCCN,B,,ICCCN,28.0,36.0
"International Conference on Computer Safety, Reliability and Security",SAFECOMP,B,B,SAFECOMP,20.0,38.0
International Conference on Computer Supported Cooperative Work in Design,CSCWD,C,B,CSCWD,17.0,23.0
International Conference on Computer Supported Education,CSEDU,B,,CSEDU,21.0,39.0
International Conference on Computer Vision and Graphics,ICCVG,National: Poland,,ICCVG,,
International Conference on Computer Vision Systems,ICVS,C,C,ICVS,14.0,26.0
International Conference on Computer-Human Interaction Research and Applications,CHIRA,C,,CHIRA,8.0,12.0
International Conference on Computers and their Applications,CATA,National: USA,C,CATA,10.0,27.0
International Conference on Computers Helping People with Special Needs,ICCHP,C,C,ICCHP,12.0,14.0
International Conference on Computers in Education,ICCE,C,B,ICCE,21.0,39.0
International Conference on Computing and Combinatorics,COCOON,National:China,A,COCOON,9.0,12.0
International Conference on Computing and Informatics,ICOCI,C,C,ICOCI,32.0,61.0
International Conference on Conceptual Modelling,ER,A,A,ER,20.0,32.0
International Conference on Concurrency Theory,CONCUR,A,A,CONCUR,18.0,22.0
"International Conference on Control, Automation, Robotics and Vision",ICARCV,C,A,ICARCV,13.0,16.0
"International Conference on Control, Decision and Information Technologies",CoDIT,C,,CoDIT,19.0,22.0
International Conference on Cooperative Information Systems,CoopIS,B,,CoopIS,,
International Conference on Coordination Models and Languages,Coordination,C,,Coordination,,
International Conference on Cryptology and Network Security,CANS,B,B,CANS,46.0,66.0
International Conference on Cryptology in India,INDOCRYPT,National: India,B,INDOCRYPT,17.0,27.0
International Conference on Cyberworlds (was International Symposium on Cyberworlds),CW,C,B,CW,,
International Conference on Data Engineering,ICDE,A*,A,ICDE,69.0,94.0
"International Conference on Data Science, Technology and Applications",DATA,C,,DATA,10.0,21.0
International Conference on Database and Expert Systems Applications,DEXA,C,B,DEXA,15.0,32.0
International Conference on Database Systems for Advanced Applications,DASFAA,B,C,DASFAA,23.0,35.0
International Conference on Database Theory,ICDT,A,A,ICDT,19.0,30.0
International Conference on Dependability of Computer Systems,DEPCoS,National: Poland,C,DEPCoS,,
"International Conference on Dependable, Autonomic and Secure Computing",DASC,C,C,DASC,21.0,33.0
International Conference on Digital Society,ICDS,C,C,ICDS,5.0,6.0
International Conference on Distributed Computing and Artificial Intelligence,DCAI,National(Spain),,DCAI,27.0,39.0
International Conference on Distributed Computing and Internet Technologies,ICDCIT,National: India,,ICDCIT,15.0,19.0
International Conference on Distributed Computing and Networking,ICDCN,National: India,,ICDCN,18.0,27.0
International Conference on Distributed Computing Systems,ICDCS,A,,ICDCS,48.0,72.0
International Conference on Dublin Core and Metadata Applications,DC,C,,DC,3.0,4.0
International Conference on Electronic Commerce,ICEC,C,,ICEC,49.0,75.0
International Conference on Embedded and Real Time Computing Systems and Applications,RTCSA,B,,RTCSA,13.0,17.0
International Conference on Embedded Wireless Systems and Networks (wasEuropean Conference on Wireless Sensor Networks),EWSN,B,,EWSN,,
International Conference on Emerging Ubiquitous Systems and Pervasive Networks,EUSPN,Unranked,,EUSPN,,
International Conference on Engineering Applications of Neural Networks,EANN,C,,EANN,17.0,25.0
International Conference on Entertainment Computing,ICEC,C,,ICEC,32.0,46.0
International Conference on Evaluation and Assessment in Software Engineering,EASE,A,,EASE,25.0,36.0
International Conference on Evaluation of Novel Approaches to Software Engineering,ENASE,B,,ENASE,15.0,21.0
International Conference on Formal Engineering Methods,ICFEM,C,,ICFEM,11.0,16.0
International Conference on Formal Methods and Models for Co-Design,MEMOCODE,C,,MEMOCODE,,
International Conference on Formal Ontology in Information Systems,FOIS,B,,FOIS,,
International Conference on Formal Structures for Computation and Deduction,FSCD,B,,FSCD,16.0,28.0
International Conference on Frontiers of Handwriting Recognition,ICFHR,B,,ICFHR,,
International Conference on Frontiers of Information Technology,FIT,National: Pakistan,,FIT,15.0,20.0
International Conference on Functional Programming,ICFP,A,,ICFP,,
International Conference on Generative Programming and Component Engineering,GPCE,B,,GPCE,,
International Conference on Graph Transformations,ICGT,B,,ICGT,,
"International Conference on Green, Pervasive and Cloud Computing (was Grid and Pervasive Computing)",GPC,C,,GPC,,
"International Conference on Hardware/Software Codesign and System Synthesis (previously ISSN, changed in 2003)",CODES+ISSS,C,,CODES+ISSS,,
"International Conference on Heterogeneous Networking for Quality, Reliability, Security and Robustness (was International Conference on Quality of Service in Heterogeneous Wired/Wireless Networks)",Qshine,C,,Qshine,,
International Conference on High Performance Computing,HiPC,National: India,,HiPC,50.0,89.0
International Conference on High Performance Scientific Computing,HPSC,National: Vietnam,,HPSC,,
International Conference on Human Factors in Computing Systems,CHI,A*,,CHI,129.0,183.0
International Conference on Human-Computer Interaction with Mobile Devices and Services,MobileHCI,B,,MobileHCI,,
International Conference on Hybrid Artificial Intelligence Systems,HAIS,National: Spain,,HAIS,11.0,18.0
International Conference on Hybrid Intelligent Systems,HIS,C,,HIS,15.0,20.0
International Conference on Image Analysis and Processing,ICIAP,National: Italy,,ICIAP,19.0,31.0
International Conference on Image and Graphics,ICIG,National: China,,ICIG,16.0,21.0
International Conference on Image and Signal Processing,ICISP,C,,ICISP,38.0,48.0
International Conference on Implementation and Application of Automata,CIAA,C,,CIAA,,
International Conference on Indoor Positioning and Indoor Navigation,IPIN,C,,IPIN,20.0,28.0
International Conference on Industrial and Engineering Applications of Artificial Intelligence and Expert Systems,IEA/AIE,C,,IEA/AIE,16.0,23.0
International Conference on Informatics & Data-Driven Medicine,IDDM,C,,IDDM,14.0,20.0
"International Conference on Informatics in Control, Automation and Robotics",ICINCO,C,,ICINCO,14.0,19.0
International Conference on Information and Communication Technologies and Development,ICTD,C,,ICTD,27.0,41.0
International Conference on Information and Communication Technologies for Ageing Well and e-Health,ICT4AWE,C,,ICT4AWE,11.0,14.0
International Conference on Information and Communication Technologies in Tourism,ENTER,C,,ENTER,,
International Conference on Information and Communications Security,ICICS,C,,ICICS,24.0,40.0
International Conference on Information and Knowledge Engineering,IKE,National: USA,,IKE,,
International Conference on Information Fusion,FUSION,C,,FUSION,134.0,214.0
International Conference on Information Processing and Management of Uncertainty,IPMU,C,,IPMU,12.0,17.0
International Conference on Information Security and Cryptography,SECRYPT,C,,SECRYPT,46.0,66.0
International Conference on Information Security and Cryptology,ICISC,National: Korea,,ICISC,46.0,66.0
International Conference on Information Systems Security,ICISS,National: India,,ICISS,22.0,34.0
International Conference on Information Systems Security and Privacy,ICISSP,C,,ICISSP,22.0,34.0
International Conference on Information Technology and Applications,ICITA,Australasian C,,ICITA,11.0,15.0
International Conference on Information Visualisation,IV,C,,IV,15.0,22.0
International Conference on Innovations for Community Services (was Innovative Internet Computer Systems IICS until 2014),I4CS,C,,I4CS,,
International Conference on Integration of Artificial Intelligence and Operations Research Techniques in Constraint Programming for Combinatorial Optimization Problems,CPAIOR,B,,CPAIOR,,
International Conference on Intelligent Data Engineering and Automated Learning,IDEAL,C,,IDEAL,14.0,25.0
"International Conference on Intelligent Software Methodologies, Tools, and Techniques (was International Conference on Software Methods and Tools)",SoMeT,C,,SoMeT,10.0,15.0
International Conference on Intelligent Systems and Knowledge Engineering,ISKE,National: China,,ISKE,13.0,17.0
International Conference on Intelligent Systems Designs and Applications,ISDA,C,,ISDA,13.0,22.0
International Conference on Intelligent Text Processing and Computational Linguistics,CICLING,C,,CICLING,,
International Conference on Intelligent Tutoring Systems,ITS,B,,ITS,16.0,22.0
International Conference on Intelligent User Interfaces,IUI,A,,IUI,52.0,90.0
International Conference on Interactive Digital Storytelling (2008 merger of 'ICVS International Conference on Virtual Storytelling' and 'TIDSE Technology for Interactive Digital Storytelling'),ICIDS,C,,ICIDS,,
International Conference on Internet and Web Applications and Services,ICIW,C,,ICIW,,
International Conference on Internet Computing in Science and Engineering,ICICSE,C,,ICICSE,,
International Conference on Internet Monitoring and Protection,ICIMP,C,,ICIMP,,
"International Conference on Internet of Things, Big Data and Security",IoTBDS,C,,IoTBDS,,
International Conference on Internet Technologies and Applications,ITA,National: USA,,ITA,8.0,17.0
International Conference on Knowledge Engineering and Knowledge Management,EKAW,B,,EKAW,17.0,25.0
International Conference on Knowledge Engineering and Ontology Development,KEOD,C,,KEOD,,
"International Conference on Knowledge Science, Engineering and Management",KSEM,C,,KSEM,17.0,25.0
International Conference on Knowledge-Based and Intelligent Information and Engineering Systems,KES,B,,KES,,
International Conference on Language and Automata Theory and Applications,LATA,C,,LATA,,
International Conference on Learning Analytics and Knowledge,LAK,A,,LAK,,
International Conference on Learning Representations,ICLR,A*,,ICLR,304.0,584.0
International Conference on Legal Knowledge and Information Systems,JURIX,C,,JURIX,15.0,22.0
International Conference on Logic Programming,ICLP,A,,ICLP,,
International Conference on Logic Programming and Non-monotonic Reasoning,LPNMR,B,,LPNMR,,
International Conference on Machine Learning,ICML,A*,,ICML,268.0,424.0
International Conference on Machine Learning and Applications,ICMLA,C,,ICMLA,43.0,76.0
International Conference on Machine Learning and Cybernetics,ICMLC,National: China,,ICMLC,62.0,92.0
International Conference on Machine Vision,ICMV,C,,ICMV,291.0,484.0
International Conference on Managed Programming Languages and Runtimes (was ManLang and previously Principles and Practice of Programming in Java: PPPJ),MPLR,C,,MPLR,,
International Conference on Management of Data,COMAD,National: India,,COMAD,73.0,109.0
International Conference on Management of Digital EcoSystems,MEDES,C,,MEDES,12.0,20.0
International Conference on Mathematical Foundations of Programming Semantics,MFPS,B,,MFPS,,
International Conference on Methods and Models in Automation and Robotics,MMAR,National:Poland,,MMAR,11.0,14.0
International Conference on Mobile and Ubiquitous Systems: Networks and Services,Mobiquitous,C,,Mobiquitous,15.0,21.0
International Conference on Mobile Data Management,MDM,B,,MDM,19.0,28.0
International Conference on Mobile Systems and Pervasive Computing,MobiSPC,Unranked,,MobiSPC,15.0,21.0
"International Conference on Mobile Ubiquitous Computing, Systems, Services and Technologies",UBICOMM,C,,UBICOMM,,
International Conference on Model and Data Engineering,MEDI,C,,MEDI,10.0,15.0
"International Conference on Model Driven Engineering Languages and Systems (Previously UML, changed in 2005)",MODELS,A,,MODELS,,
International Conference on Model-Driven Engineering and Software Development,MODELSWARD,C,,MODELSWARD,13.0,17.0
International Conference on Modelling and Simulation,ECMS,Multiconference,,ECMS,28.0,38.0
International Conference on Modelling Decisions for Artificial Intelligence,MDAI,B,,MDAI,10.0,14.0
International Conference on Multimedia Modelling,MMM,B,,MMM,,
International Conference on Multimedia Retrieval (previously MIR),ICMR,B,,ICMR,,
International Conference on Multimodal Interaction (was International Conference on Multimodal Interfaces),ICMI,B,,ICMI,31.0,44.0
International Conference on Natural Computation,ICNC,National: China,,ICNC,13.0,19.0
International Conference on Network and Service Management (amalgamation of DSOM and related workshops from 2010),CNSM,B,,CNSM,,
International Conference on network and System Security,NSS,B,,NSS,22.0,34.0
International Conference on Network Protocols,ICNP,B,,ICNP,27.0,41.0
International Conference on Network Softwarization,NetSoft,B,,NetSoft,,
International Conference on Neural Information Processing,ICONIP,B,,ICONIP,337.0,614.0
International Conference on Operations Research and Enterprise Systems,ICORES,C,,ICORES,10.0,13.0
International Conference on Optimization: Techniques And Applications,ICOTA,C,,ICOTA,,
International Conference on Pairing-based Cryptography,Pairing,C,,Pairing,,
"International Conference on Parallel and Distributed Computing, Applications and Technologies",PDCAT,C,,PDCAT,,
International Conference on Parallel and Distributed Processing Techniques and Applications,PDPTA,National: USA,,PDPTA,,
International Conference on Parallel and Distributed Systems,ICPADS,B,,ICPADS,74.0,111.0
International Conference on Parallel Architecture and Compilation Techniques,PACT,B,,PACT,21.0,31.0
International Conference on Parallel Processing,ICPP,B,,ICPP,38.0,50.0
International Conference on Parallel Processing and Applied Mathematics,PPAM,National: Poland,,PPAM,10.0,13.0
International Conference on Pattern Recognition,ICPR,B,,ICPR,118.0,164.0
International Conference on Pattern Recognition Applications and Methods,ICPRAM,C,,ICPRAM,21.0,30.0
International Conference on Practical Applications of Computational Biology & Bioinformatics,PACBB,National(Spain),,PACBB,,
International Conference on Practice and Theory in Public Key Cryptography,PKC,B,,PKC,35.0,49.0
International Conference on Principles and Practice of Constraint Programming,CP,A,,CP,20.0,29.0
International Conference on Principles and Practice of Declarative Programming,PPDP,C,,PPDP,,
International Conference on Principles of Distributed Systems,OPODIS,B,,OPODIS,18.0,24.0
International Conference on Principles of Practice in Multi-Agent Systems (prior to 2009 was Pacific Rim International Workshop on Multi-Agents),PRIMA,B,,PRIMA,9.0,12.0
"International Conference on Probabilistic, Combinatorial, and Asymptotic Methods in the Analysis of Algorithms (was Conference on Analysis of Algorithms)",AofA,C,,AofA,,
International Conference on Process Mining,ICPM,B,,ICPM,14.0,23.0
International Conference on Provable Security,ProvSec,C,,ProvSec,11.0,17.0
International Conference on Quality of Multimedia Experience,QoMEX,B,,QoMEX,24.0,52.0
International Conference on Real-Time and Network Systems,RTNS,National: France,,RTNS,,
International Conference on Recent Advances in Natural Language Processing,RANLP,National: bulgaria,,RANLP,25.0,35.0
International Conference on Relational and AlgebraicMethods in Computer Science (was International Conference on Relational Methods in Computer Science RelMiCS),RAMiCS,C,,RAMiCS,,
International Conference on Reliable Software Technologies,Ada-Europe,Journal Published,,Ada-Europe,,
International Conference on Research Challenges in Information Science,RCIS,B,,RCIS,18.0,27.0
International Conference on Reversible Computation,RC,C,,RC,,
International Conference on Risks and Security of Internet and Systems,CRiSIS,C,,CRiSIS,,
"International Conference on Robotics, Vision, Signal Processing and Power Applications (was ROVPIA)",RoVISP,National: Malaysia,,RoVISP,,
International Conference on Runtime Verification (was workshop pre 2010),RV,B,,RV,,
International Conference on Scientific and Statistical Data Base Management,SSDBM,B,,SSDBM,12.0,16.0
International Conference on Security and Privacy for Communication Networks,SecureComm,C,,SecureComm,,
International Conference on Security of Information and Networks,SIN,C,,SIN,23.0,35.0
International Conference on Sequences and their Applications,SETA,C,,SETA,,
International Conference on Service Oriented Computing,ICSOC,A,,ICSOC,20.0,31.0
International Conference on Similarity Search and Applications,SISAP,B,,SISAP,11.0,13.0
International Conference on Smart homes and health Telematics,ICOST,C,,ICOST,,
International Conference on Software and Data Technologies,ICSoft,C,,ICSoft,,
International Conference on Software and System Processes (was ICSP prior to 2011),ICSSP,B,,ICSSP,,
International Conference on Software Architecture (was previously WICSA),ICSA,A,,ICSA,,
International Conference on Software Engineering,ICSE,A*,,ICSE,84.0,118.0
International Conference on Software Engineering Advances,ICSEA,C,,ICSEA,45.0,62.0
International Conference on Software Engineering and Formal Methods,SEFM,B,,SEFM,16.0,20.0
International Conference on Software Engineering and Knowledge Engineering,SEKE,C,,SEKE,20.0,36.0
"International Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing",SNPD,C,,SNPD,13.0,20.0
International Conference on Software Language Engineering,SLE,B,,SLE,,
International Conference on Software Quality Management,SQM,C,,SQM,,
International Conference on Software Reuse,ICSR,B,,ICSR,,
"International Conference on Software Testing, Verification and Validation",ICST,A,,ICST,32.0,59.0
International Conference on Sustainable Energy Information Technology,SEIT,Unranked,,SEIT,,
International Conference on Systems Engineering,ICSEng,C,,ICSEng,27.0,38.0
International Conference on Technical Debt,TechDebt,B,,TechDebt,,
International Conference on Testing Software and Systems,ICTSS,C,,ICTSS,,
International Conference on Tests and Proofs,TAP,C,,TAP,,
International Conference on the Application and Theory of Petri Nets and Concurrency,Petri Nets,B,,Petri Nets,,
International Conference on the Foundations of Digital Games,FDG,C,,FDG,25.0,31.0
International Conference on the Principles of Knowledge Representation and Reasoning,KR,A*,,KR,23.0,31.0
International Conference on the Quality of Information and Communications Technology,QUATIC,C,,QUATIC,14.0,18.0
International Conference on the Simulation and Synthesis of Living Systems,ALIFE,C,,ALIFE,,
International Conference on the Statistical Analysis of Textual Data,JADT,C,,JADT,,
International Conference on the Theory and Application of Cryptographic Techniques,EuroCrypt,A*,,EuroCrypt,63.0,99.0
International Conference on the Theory and Application of Cryptology and Information Security,ASIACRYPT,A,,ASIACRYPT,46.0,66.0
